Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.05849190876180897
CL0,Age,-0.07854,0.20649270623964763
CL0,Age,0.49788000000000004,0.2494509478415716
CL0,Age,1.09449,0.23615980242473444
CL0,Age,1.82213,0.4690731837140236
CL0,Age,2.59171,0.9359406890686092
CL0,Gender,-0.48246000000000006,0.056496270449062115
CL0,Gender,0.48246000000000006,0.30010702010971685
CL0,Education,-2.43591,0.2182760867604137
CL0,Education,-1.7379,0.17161302170503148
CL0,Education,-1.43719,0.12660515757367774
CL0,Education,-1.22751,0.09650580429898634
CL0,Education,-0.6111300000000001,0.0777283976274499
CL0,Education,-0.059210000000000006,0.13020281643889298
CL0,Education,0.45468000000000003,0.19362425672103492
CL0,Education,1.16365,0.2948338906661788
CL0,Education,1.98437,0.3861227983641839
CL0,Country,-0.57009,0.012963324563732519
CL0,Country,-0.46841000000000005,0.015523509550415317
CL0,Country,-0.28519,0.026892272868142466
CL0,Country,-0.09765,0.05994296810835509
CL0,Country,0.21128000000000002,0.19648158119606846
CL0,Country,0.24923,0.21731977490299575
CL0,Country,0.9608200000000001,0.4841960027856745
CL0,Ethnicity,-1.1070200000000001,7.079885960324649e-08
CL0,Ethnicity,-0.50212,0.27715767319666335
CL0,Ethnicity,-0.31685,0.14440227670399874
CL0,Ethnicity,-0.22166,0.12909648749793357
CL0,Ethnicity,0.1144,0.004210230686276231
CL0,Ethnicity,0.126,0.0031755338162675136
CL0,Ethnicity,1.90725,1.2337445287588103e-63
CL0,Nscore,-3.4643599999999997,0.16647653988725927
CL0,Nscore,-3.15735,0.1746312453751736
CL0,Nscore,-2.75696,0.17505101554401395
CL0,Nscore,-2.52197,0.1708938223199086
CL0,Nscore,-2.4231700000000003,0.16853188935476637
CL0,Nscore,-2.3436,0.16646837236407447
CL0,Nscore,-2.21844,0.1630643635087265
CL0,Nscore,-2.05048,0.15847752286604622
CL0,Nscore,-1.86962,0.1539012018830872
CL0,Nscore,-1.69163,0.15008226789541027
CL0,Nscore,-1.5507799999999998,0.14767299734882874
CL0,Nscore,-1.43907,0.14618169877443835
CL0,Nscore,-1.32828,0.14507355531525826
CL0,Nscore,-1.1943,0.14421011603040929
CL0,Nscore,-1.05308,0.1438178879040742
CL0,Nscore,-0.92104,0.14386289387660547
CL0,Nscore,-0.79151,0.14421056005142732
CL0,Nscore,-0.67825,0.1446871490858829
CL0,Nscore,-0.58016,0.14517471873711854
CL0,Nscore,-0.46725,0.14575921058932928
CL0,Nscore,-0.34799,0.1463303782602662
CL0,Nscore,-0.24649000000000001,0.14672303003642817
CL0,Nscore,-0.14882,0.14697878839824002
CL0,Nscore,-0.051879999999999996,0.14708394059901275
CL0,Nscore,0.04257,0.14702256363177826
CL0,Nscore,0.13606,0.14678928419923695
CL0,Nscore,0.22393000000000002,0.14640810893452313
CL0,Nscore,0.31287,0.1458628582007778
CL0,Nscore,0.41667,0.14503086855608116
CL0,Nscore,0.52135,0.14399328363373842
CL0,Nscore,0.62967,0.14273207278280572
CL0,Nscore,0.73545,0.14134177158972466
CL0,Nscore,0.82562,0.14005252309009
CL0,Nscore,0.9109299999999999,0.1387594303969252
CL0,Nscore,1.02119,0.13700222808367904
CL0,Nscore,1.13281,0.1351451693459004
CL0,Nscore,1.23461,0.13339746584096468
CL0,Nscore,1.37297,0.13095462043766282
CL0,Nscore,1.49158,0.1288039725102827
CL0,Nscore,1.6038299999999999,0.12671798430245804
CL0,Nscore,1.72012,0.1244958473339652
CL0,Nscore,1.8399,0.1221265712267714
CL0,Nscore,1.98437,0.11913048415459299
CL0,Nscore,2.127,0.1159841169713178
CL0,Nscore,2.28554,0.1122126231305128
CL0,Nscore,2.4626200000000003,0.10758886809363351
CL0,Nscore,2.61139,0.10332036270584379
CL0,Nscore,2.82196,0.09662742509736816
CL0,Nscore,3.27393,0.07977601093446025
CL0,Escore,-3.27393,0.021809034696906714
CL0,Escore,-3.00537,0.03252823703748934
CL0,Escore,-2.72827,0.04678124319752539
CL0,Escore,-2.5383,0.05826050381275568
CL0,Escore,-2.44904,0.06404411836882457
CL0,Escore,-2.32338,0.0725031214523084
CL0,Escore,-2.21069,0.08030226529322512
CL0,Escore,-2.11437,0.08704350530508698
CL0,Escore,-2.03972,0.09226860914298574
CL0,Escore,-1.92173,0.10044413554802128
CL0,Escore,-1.7625,0.1111314756058425
CL0,Escore,-1.6334,0.11935052455622938
CL0,Escore,-1.50796,0.12684971462770872
CL0,Escore,-1.37639,0.13413052695758285
CL0,Escore,-1.23177,0.14139525643546771
CL0,Escore,-1.09207,0.1476614908702211
CL0,Escore,-0.9477899999999999,0.15336199573518275
CL0,Escore,-0.80615,0.15820775159470937
CL0,Escore,-0.69509,0.16149166546367053
CL0,Escore,-0.57545,0.16451749512554156
CL0,Escore,-0.43998999999999994,0.1672811100461422
CL0,Escore,-0.30033000000000004,0.16934560983439156
CL0,Escore,-0.15487,0.1705649356609188
CL0,Escore,0.0033200000000000005,0.17067905304715245
CL0,Escore,0.16767,0.1692823496018383
CL0,Escore,0.32197,0.16640196336899718
CL0,Escore,0.47617,0.16188538094044394
CL0,Escore,0.63779,0.15534401938849796
CL0,Escore,0.80523,0.1466839062862226
CL0,Escore,0.9624799999999999,0.1370006347583473
CL0,Escore,1.11406,0.126531107401439
CL0,Escore,1.2861,0.11374074841049035
CL0,Escore,1.45421,0.10082172249470363
CL0,Escore,1.58487,0.09081924289232124
CL0,Escore,1.74091,0.07923415247415981
CL0,Escore,1.9388599999999998,0.06551120935915399
CL0,Escore,2.127,0.05379484275932396
CL0,Escore,2.32338,0.043118902866401194
CL0,Escore,2.57309,0.03186093331507212
CL0,Escore,2.8595,0.021896088922865424
