Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.06883657864547081
CL0,Age,-0.07854,0.11304202072347527
CL0,Age,0.49788000000000004,0.11240430669739304
CL0,Age,1.09449,0.07889604571531197
CL0,Age,1.82213,0.035352689715852245
CL0,Age,2.59171,0.012026857896130293
CL0,Gender,-0.48246000000000006,0.08011694740983738
CL0,Gender,0.48246000000000006,0.1713999371892494
CL0,Education,-2.43591,0.05736272105194039
CL0,Education,-1.7379,0.07965839440939357
CL0,Education,-1.43719,0.08741414239171046
CL0,Education,-1.22751,0.09204041364611855
CL0,Education,-0.6111300000000001,0.10227195915599392
CL0,Education,-0.059210000000000006,0.10812438275495488
CL0,Education,0.45468000000000003,0.1116967567675042
CL0,Education,1.16365,0.1147034150022432
CL0,Education,1.98437,0.11637612119657088
CL0,Country,-0.57009,0.05231505384004132
CL0,Country,-0.46841000000000005,0.0602396731468671
CL0,Country,-0.28519,0.07691739687043171
CL0,Country,-0.09765,0.09756364259497763
CL0,Country,0.21128000000000002,0.1405841826445732
CL0,Country,0.24923,0.14670585035758707
CL0,Country,0.9608200000000001,0.29668239972674465
CL0,Ethnicity,-1.1070200000000001,0.2896396734528633
CL0,Ethnicity,-0.50212,0.1417502941181066
CL0,Ethnicity,-0.31685,0.11108691522568269
CL0,Ethnicity,-0.22166,0.09767419743180215
CL0,Ethnicity,0.1144,0.061081299999502334
CL0,Ethnicity,0.126,0.06007787620228685
CL0,Ethnicity,1.90725,0.004067329063564261
CL0,Nscore,-3.4643599999999997,0.0910710736618625
CL0,Nscore,-3.15735,0.09484289024491097
CL0,Nscore,-2.75696,0.09911819356867273
CL0,Nscore,-2.52197,0.10126200800539788
CL0,Nscore,-2.4231700000000003,0.10207929940793478
CL0,Nscore,-2.3436,0.10270073234687703
CL0,Nscore,-2.21844,0.1036111779703291
CL0,Nscore,-2.05048,0.10470302128642045
CL0,Nscore,-1.86962,0.10571101520523235
CL0,Nscore,-1.69163,0.10653269489092905
CL0,Nscore,-1.5507799999999998,0.10706334872902722
CL0,Nscore,-1.43907,0.10740944468016796
CL0,Nscore,-1.32828,0.10768776937667676
CL0,Nscore,-1.1943,0.10793869254491528
CL0,Nscore,-1.05308,0.10810278360914652
CL0,Nscore,-0.92104,0.10816430566189955
CL0,Nscore,-0.79151,0.10813975255990098
CL0,Nscore,-0.67825,0.10805055003584317
CL0,Nscore,-0.58016,0.10792311100899143
CL0,Nscore,-0.46725,0.10771978228053784
CL0,Nscore,-0.34799,0.10744049985088243
CL0,Nscore,-0.24649000000000001,0.10715172033078602
CL0,Nscore,-0.14882,0.10683046282315692
CL0,Nscore,-0.051879999999999996,0.10647045936184113
CL0,Nscore,0.04257,0.10608116472468855
CL0,Nscore,0.13606,0.1056592455459997
CL0,Nscore,0.22393000000000002,0.10523030220088966
CL0,Nscore,0.31287,0.10476496013208521
CL0,Nscore,0.41667,0.1041832647325619
CL0,Nscore,0.52135,0.10355577453374648
CL0,Nscore,0.62967,0.10286469556991641
CL0,Nscore,0.73545,0.10215025963807899
CL0,Nscore,0.82562,0.10151147472427248
CL0,Nscore,0.9109299999999999,0.10088274952406781
CL0,Nscore,1.02119,0.10003631477772426
CL0,Nscore,1.13281,0.09914216741049992
CL0,Nscore,1.23461,0.09829546031622478
CL0,Nscore,1.37297,0.0970993762233309
