Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.05151692797007996
CL0,Age,-0.07854,0.1206058128058452
CL0,Age,0.49788000000000004,0.268438836097207
CL0,Age,1.09449,0.3650503901646198
CL0,Age,1.82213,0.38213837331635475
CL0,Age,2.59171,0.41550413943808456
CL0,Gender,-0.48246000000000006,0.07125518616637072
CL0,Gender,0.48246000000000006,0.30362228211598175
CL0,Education,-2.43591,0.23598367899391123
CL0,Education,-1.7379,0.15804300044195937
CL0,Education,-1.43719,0.1287773772658203
CL0,Education,-1.22751,0.11279739850876001
CL0,Education,-0.6111300000000001,0.0927296386640724
CL0,Education,-0.059210000000000006,0.10994952093076008
CL0,Education,0.45468000000000003,0.15806634838373793
CL0,Education,1.16365,0.2563972232357432
CL0,Education,1.98437,0.3655887065026778
CL0,Country,-0.57009,0.020771674708657886
CL0,Country,-0.46841000000000005,0.027873613803205344
CL0,Country,-0.28519,0.045864878634638014
CL0,Country,-0.09765,0.07294390285552617
CL0,Country,0.21128000000000002,0.13948726092272512
CL0,Country,0.24923,0.14938768130013197
CL0,Country,0.9608200000000001,0.330923607337616
CL0,Ethnicity,-1.1070200000000001,0.02432235028412922
CL0,Ethnicity,-0.50212,0.26108039372203756
CL0,Ethnicity,-0.31685,0.08478610619276082
CL0,Ethnicity,-0.22166,0.10674750817599041
CL0,Ethnicity,0.1144,0.20757966270738887
CL0,Ethnicity,0.126,0.19971037352060322
CL0,Ethnicity,1.90725,1.5138459402644927e-16
CL0,Nscore,-3.4643599999999997,0.07186585166009092
CL0,Nscore,-3.15735,0.09247867296976135
CL0,Nscore,-2.75696,0.11987287513929777
CL0,Nscore,-2.52197,0.13489105425165407
CL0,Nscore,-2.4231700000000003,0.14075647286632978
CL0,Nscore,-2.3436,0.14524241505350183
CL0,Nscore,-2.21844,0.15181897149661247
CL0,Nscore,-2.05048,0.15962541559625842
CL0,Nscore,-1.86962,0.1666081839115898
CL0,Nscore,-1.69163,0.17196131889545468
CL0,Nscore,-1.5507799999999998,0.17511208882477866
CL0,Nscore,-1.43907,0.1769347917275069
CL0,Nscore,-1.32828,0.17816420697959084
CL0,Nscore,-1.1943,0.17890625135048985
CL0,Nscore,-1.05308,0.17884577941059768
CL0,Nscore,-0.92104,0.17805241025605573
CL0,Nscore,-0.79151,0.17662859715728182
CL0,Nscore,-0.67825,0.17489647226428248
CL0,Nscore,-0.58016,0.1730547181434731
CL0,Nscore,-0.46725,0.17057004309554014
CL0,Nscore,-0.34799,0.16755427195550202
CL0,Nscore,-0.24649000000000001,0.16469663550298586
CL0,Nscore,-0.14882,0.16171470992051448
CL0,Nscore,-0.051879999999999996,0.15854759903617271
CL0,Nscore,0.04257,0.15527874091385374
CL0,Nscore,0.13606,0.15187940959999288
CL0,Nscore,0.22393000000000002,0.14854782790977789
CL0,Nscore,0.31287,0.14505176864215283
CL0,Nscore,0.41667,0.1408275535162253
CL0,Nscore,0.52135,0.13642529314961685
CL0,Nscore,0.62967,0.13173547783833736
CL0,Nscore,0.73545,0.1270385831429706
CL0,Nscore,0.82562,0.12295420771129247
CL0,Nscore,0.9109299999999999,0.11902985536868589
CL0,Nscore,1.02119,0.11388297138433368
CL0,Nscore,1.13281,0.10860121636112874
CL0,Nscore,1.23461,0.1037350845985522
CL0,Nscore,1.37297,0.09706950711285246
CL0,Nscore,1.49158,0.09133040880756996
CL0,Nscore,1.6038299999999999,0.08589854343657215
CL0,Nscore,1.72012,0.08029180925078651
CL0,Nscore,1.8399,0.0745625835258409
CL0,Nscore,1.98437,0.06775122326877597
CL0,Nscore,2.127,0.06117701445524353
CL0,Nscore,2.28554,0.05410329152202634
CL0,Nscore,2.4626200000000003,0.046571769044742924
CL0,Nscore,2.61139,0.04060808903620201
CL0,Nscore,2.82196,0.032832125080082895
CL0,Nscore,3.27393,0.019191170913993267
CL0,Escore,-3.27393,0.004189524100838055
CL0,Escore,-3.00537,0.00822796963671638
CL0,Escore,-2.72827,0.015169092759343273
CL0,Escore,-2.5383,0.021951628204362736
CL0,Escore,-2.44904,0.02575810381458033
CL0,Escore,-2.32338,0.03179629121925283
CL0,Escore,-2.21069,0.03787091505674535
CL0,Escore,-2.11437,0.04353111936516895
CL0,Escore,-2.03972,0.048193545749485464
CL0,Escore,-1.92173,0.05600485127528489
CL0,Escore,-1.7625,0.06726617982971597
CL0,Escore,-1.6334,0.07685123738182181
CL0,Escore,-1.50796,0.08641099536779989
CL0,Escore,-1.37639,0.09655276981338257
CL0,Escore,-1.23177,0.1076576959639857
CL0,Escore,-1.09207,0.1181642578209067
CL0,Escore,-0.9477899999999999,0.1286079989673985
CL0,Escore,-0.80615,0.13829293309031682
CL0,Escore,-0.69509,0.14539395313113218
CL0,Escore,-0.57545,0.1524733665331129
CL0,Escore,-0.43998999999999994,0.15967734860723937
