Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.06716456258730809
CL0,Age,-0.07854,0.10675846442723622
CL0,Age,0.49788000000000004,0.13366802976451547
CL0,Age,1.09449,0.15571475187163317
CL0,Age,1.82213,0.17298122058306628
CL0,Age,2.59171,0.18839270527434857
CL0,Gender,-0.48246000000000006,0.07766507661645143
CL0,Gender,0.48246000000000006,0.16172379081077407
CL0,Education,-2.43591,0.1004697709915951
CL0,Education,-1.7379,0.1018915405439563
CL0,Education,-1.43719,0.1022368743998705
CL0,Education,-1.22751,0.10237690884789087
CL0,Education,-0.6111300000000001,0.10229509720130658
CL0,Education,-0.059210000000000006,0.10159121140592005
CL0,Education,0.45468000000000003,0.10041296557705033
CL0,Education,1.16365,0.09801786849960345
CL0,Education,1.98437,0.09428181919443107
CL0,Country,-0.57009,0.06699356872354388
CL0,Country,-0.46841000000000005,0.07143184976940282
CL0,Country,-0.28519,0.08000673508645388
CL0,Country,-0.09765,0.0895694815455249
CL0,Country,0.21128000000000002,0.10707603249192932
CL0,Country,0.24923,0.10937634484697568
CL0,Country,0.9608200000000001,0.15815205873507507
CL0,Ethnicity,-1.1070200000000001,0.13216546511177674
CL0,Ethnicity,-0.50212,0.11039670798414061
CL0,Ethnicity,-0.31685,0.10252449603853073
CL0,Ethnicity,-0.22166,0.09834191439596536
CL0,Ethnicity,0.1144,0.08326377375071277
CL0,Ethnicity,0.126,0.08274361367812608
CL0,Ethnicity,1.90725,0.023926036645924142
CL0,Nscore,-3.4643599999999997,0.07650462261271096
CL0,Nscore,-3.15735,0.07849209589623031
CL0,Nscore,-2.75696,0.08113473209037553
CL0,Nscore,-2.52197,0.08271228400424184
CL0,Nscore,-2.4231700000000003,0.08338140228617993
CL0,Nscore,-2.3436,0.0839227961367134
CL0,Nscore,-2.21844,0.08477890614208078
CL0,Nscore,-2.05048,0.08593643890963239
CL0,Nscore,-1.86962,0.08719393920091603
CL0,Nscore,-1.69163,0.08844263885694469
CL0,Nscore,-1.5507799999999998,0.08943858923129877
CL0,Nscore,-1.43907,0.09023337697478914
CL0,Nscore,-1.32828,0.09102587345420472
CL0,Nscore,-1.1943,0.09198989061513432
CL0,Nscore,-1.05308,0.09301265710197576
CL0,Nscore,-0.92104,0.09397509028522687
CL0,Nscore,-0.79151,0.09492497789998043
CL0,Nscore,-0.67825,0.09576019760793968
CL0,Nscore,-0.58016,0.09648703577705565
CL0,Nscore,-0.46725,0.09732767980130556
CL0,Nscore,-0.34799,0.09822021917895407
CL0,Nscore,-0.24649000000000001,0.0989835630628632
CL0,Nscore,-0.14882,0.09972131788923373
CL0,Nscore,-0.051879999999999996,0.1004566630200878
CL0,Nscore,0.04257,0.10117608179642018
CL0,Nscore,0.13606,0.10189105446512739
CL0,Nscore,0.22393000000000002,0.10256563592667202
CL0,Nscore,0.31287,0.10325097466638569
CL0,Nscore,0.41667,0.10405403910897001
CL0,Nscore,0.52135,0.10486740659046123
CL0,Nscore,0.62967,0.10571273131737507
CL0,Nscore,0.73545,0.10654182009043263
CL0,Nscore,0.82562,0.10725134199416986
CL0,Nscore,0.9109299999999999,0.10792496666798623
CL0,Nscore,1.02119,0.10879896029681854
CL0,Nscore,1.13281,0.10968756846810049
CL0,Nscore,1.23461,0.11050134110061187
CL0,Nscore,1.37297,0.11161244179611304
CL0,Nscore,1.49158,0.11256955795568377
CL0,Nscore,1.6038299999999999,0.11347924692074476
CL0,Nscore,1.72012,0.11442563933095952
