Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.09876082498104542
CL0,Age,-0.07854,0.12889975507803172
CL0,Age,0.49788000000000004,0.16362884909725195
CL0,Age,1.09449,0.2015250956437623
CL0,Age,1.82213,0.5158067090709909
CL0,Age,2.59171,0.8289896740033647
CL0,Gender,-0.48246000000000006,0.09973532156915076
CL0,Gender,0.48246000000000006,0.21699166770810288
CL0,Education,-2.43591,0.10315754426989485
CL0,Education,-1.7379,0.09945703761574554
CL0,Education,-1.43719,0.09732888274370163
CL0,Education,-1.22751,0.09711772527994278
CL0,Education,-0.6111300000000001,0.10703521029080493
CL0,Education,-0.059210000000000006,0.13468063436093713
CL0,Education,0.45468000000000003,0.17884870586516702
CL0,Education,1.16365,0.24870852076285024
CL0,Education,1.98437,0.2560285976732477
CL0,Country,-0.57009,0.027548710077755768
CL0,Country,-0.46841000000000005,0.029463377802940158
CL0,Country,-0.28519,0.05010223054178003
CL0,Country,-0.09765,0.09533429123124124
CL0,Country,0.21128000000000002,0.1801894974624046
CL0,Country,0.24923,0.19260504039484225
CL0,Country,0.9608200000000001,0.4094091835488236
CL0,Ethnicity,-1.1070200000000001,0.01897584178550556
CL0,Ethnicity,-0.50212,0.3494465007006039
CL0,Ethnicity,-0.31685,0.054692462903126175
CL0,Ethnicity,-0.22166,0.11856555041072468
CL0,Ethnicity,0.1144,0.26703606078986414
CL0,Ethnicity,0.126,0.2523835216157065
CL0,Ethnicity,1.90725,3.069045389452375e-17
CL0,Nscore,-3.4643599999999997,0.36482889810856306
CL0,Nscore,-3.15735,0.3585655994027961
CL0,Nscore,-2.75696,0.3410142842795206
CL0,Nscore,-2.52197,0.3268449478853127
CL0,Nscore,-2.4231700000000003,0.3202401646166937
CL0,Nscore,-2.3436,0.31469362195985223
CL0,Nscore,-2.21844,0.3056257440961796
CL0,Nscore,-2.05048,0.29294976667283024
CL0,Nscore,-1.86962,0.2788843303713454
CL0,Nscore,-1.69163,0.2648597506269133
CL0,Nscore,-1.5507799999999998,0.25377289687027027
CL0,Nscore,-1.43907,0.24505181090978176
CL0,Nscore,-1.32828,0.23650628784185712
CL0,Nscore,-1.1943,0.2263548983783824
CL0,Nscore,-1.05308,0.2159187348676549
CL0,Nscore,-0.92104,0.2064419927525508
CL0,Nscore,-0.79151,0.19743391654544942
CL0,Nscore,-0.67825,0.18980423395387916
CL0,Nscore,-0.58016,0.18338804784232832
CL0,Nscore,-0.46725,0.17622549261781234
CL0,Nscore,-0.34799,0.16891959287392758
CL0,Nscore,-0.24649000000000001,0.16290971308828467
CL0,Nscore,-0.14882,0.1573040633311683
CL0,Nscore,-0.051879999999999996,0.15190841731395488
CL0,Nscore,0.04257,0.1468078671138745
CL0,Nscore,0.13606,0.14190623770442595
CL0,Nscore,0.22393000000000002,0.1374277706776034
CL0,Nscore,0.31287,0.13301650556331138
CL0,Nscore,0.41667,0.12801603165314043
CL0,Nscore,0.52135,0.12312596209444716
CL0,Nscore,0.62967,0.11821767729715633
CL0,Nscore,0.73545,0.11356386975950397
CL0,Nscore,0.82562,0.10969844625482406
CL0,Nscore,0.9109299999999999,0.10612199922234966
CL0,Nscore,1.02119,0.1016080032324508
CL0,Nscore,1.13281,0.09715378185430668
CL0,Nscore,1.23461,0.09318485825224593
CL0,Nscore,1.37297,0.08792162070392195
CL0,Nscore,1.49158,0.08352020704764204
CL0,Nscore,1.6038299999999999,0.07944165660819894
CL0,Nscore,1.72012,0.07530001761884371
CL0,Nscore,1.8399,0.07111905736951842
CL0,Nscore,1.98437,0.0661876973822756
CL0,Nscore,2.127,0.061438223779019155
CL0,Nscore,2.28554,0.0563018535394657
CL0,Nscore,2.4626200000000003,0.0507543922704076
CL0,Nscore,2.61139,0.04626263039394129
CL0,Nscore,2.82196,0.04019946295412231
CL0,Nscore,3.27393,0.02855734793491042
CL0,Escore,-3.27393,0.00562565548877557
CL0,Escore,-3.00537,0.01052944521509044
CL0,Escore,-2.72827,0.0185837862703829
CL0,Escore,-2.5383,0.026225641316394988
CL0,Escore,-2.44904,0.03045237592566367
CL0,Escore,-2.32338,0.03708544557833559
CL0,Escore,-2.21069,0.043676611937625155
CL0,Escore,-2.11437,0.049742053761418506
CL0,Escore,-2.03972,0.05467754278586308
CL0,Escore,-1.92173,0.06280398347237713
CL0,Escore,-1.7625,0.07413509557525452
CL0,Escore,-1.6334,0.08333317881292948
CL0,Escore,-1.50796,0.09201270050451028
CL0,Escore,-1.37639,0.10060569660112438
CL0,Escore,-1.23177,0.10923162743204205
CL0,Escore,-1.09207,0.11663907501330588
CL0,Escore,-0.9477899999999999,0.12335356157388293
CL0,Escore,-0.80615,0.12915798492913244
