Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.12122571689795622
CL0,Age,-0.07854,0.127979496324204
CL0,Age,0.49788000000000004,0.12944502143407113
CL0,Age,1.09449,0.12778574632735515
CL0,Age,1.82213,0.12095252143588885
CL0,Age,2.59171,0.10832673691712946
CL0,Gender,-0.48246000000000006,0.11455075260629678
CL0,Gender,0.48246000000000006,0.150377465730674
CL0,Education,-2.43591,0.09755404354591757
CL0,Education,-1.7379,0.1067118633233385
CL0,Education,-1.43719,0.11075053655849122
CL0,Education,-1.22751,0.11359381260469407
CL0,Education,-0.6111300000000001,0.12205068837010338
CL0,Education,-0.059210000000000006,0.1296960379466789
CL0,Education,0.45468000000000003,0.13681729550433805
CL0,Education,1.16365,0.14653803700236437
CL0,Education,1.98437,0.1574481544503581
CL0,Country,-0.57009,0.09131528530916289
CL0,Country,-0.46841000000000005,0.09752202055473119
CL0,Country,-0.28519,0.10948734776702027
CL0,Country,-0.09765,0.12278103241474096
CL0,Country,0.21128000000000002,0.14694817332311405
CL0,Country,0.24923,0.15010517987441957
CL0,Country,0.9608200000000001,0.21583155594348968
CL0,Ethnicity,-1.1070200000000001,0.14734956393433266
CL0,Ethnicity,-0.50212,0.13421419851403465
CL0,Ethnicity,-0.31685,0.128388717288616
CL0,Ethnicity,-0.22166,0.12512821886563555
CL0,Ethnicity,0.1144,0.1124647117957436
CL0,Ethnicity,0.126,0.11200193848770718
CL0,Ethnicity,1.90725,0.04330687915476072
CL0,Nscore,-3.4643599999999997,0.1779883470373479
CL0,Nscore,-3.15735,0.17367432841743682
CL0,Nscore,-2.75696,0.1680853301074465
CL0,Nscore,-2.52197,0.16482591406732092
CL0,Nscore,-2.4231700000000003,0.16346031243289239
CL0,Nscore,-2.3436,0.1623626217111236
CL0,Nscore,-2.21844,0.16063989293368672
CL0,Nscore,-2.05048,0.15833569035194586
CL0,Nscore,-1.86962,0.15586456607850732
CL0,Nscore,-1.69163,0.15344313439384827
CL0,Nscore,-1.5507799999999998,0.15153453991202911
CL0,Nscore,-1.43907,0.15002567811149126
CL0,Nscore,-1.32828,0.14853358088009944
CL0,Nscore,-1.1943,0.1467350463959053
CL0,Nscore,-1.05308,0.14484643404242642
CL0,Nscore,-0.92104,0.1430873329064248
CL0,Nscore,-0.79151,0.1413681332428587
CL0,Nscore,-0.67825,0.13987022318049275
CL0,Nscore,-0.58016,0.13857704068521925
CL0,Nscore,-0.46725,0.1370932619481159
CL0,Nscore,-0.34799,0.13553168789917475
CL0,Nscore,-0.24649000000000001,0.13420730865943725
CL0,Nscore,-0.14882,0.13293700037927467
CL0,Nscore,-0.051879999999999996,0.13168021573653335
CL0,Nscore,0.04257,0.13045962623596682
CL0,Nscore,0.13606,0.12925529739520236
CL0,Nscore,0.22393000000000002,0.12812690543409
CL0,Nscore,0.31287,0.12698831014631864
CL0,Nscore,0.41667,0.1256640372208479
CL0,Nscore,0.52135,0.12433357572005739
CL0,Nscore,0.62967,0.1229622526657752
CL0,Nscore,0.73545,0.12162846332019747
CL0,Nscore,0.82562,0.12049575309023305
CL0,Nscore,0.9109299999999999,0.11942773975282488
CL0,Nscore,1.02119,0.11805268831534108
CL0,Nscore,1.13281,0.11666686171374399
CL0,Nscore,1.23461,0.11540845609556477
CL0,Nscore,1.37297,0.11370664727948358
CL0,Nscore,1.49158,0.1122557049521487
CL0,Nscore,1.6038299999999999,0.11088941923333429
CL0,Nscore,1.72012,0.10948108785310265
CL0,Nscore,1.8399,0.10803817936605976
CL0,Nscore,1.98437,0.10630838138408828
CL0,Nscore,2.127,0.10461209012568679
CL0,Nscore,2.28554,0.10274018779822086
CL0,Nscore,2.4626200000000003,0.10066661613420443
CL0,Nscore,2.61139,0.09893885370302116
CL0,Nscore,2.82196,0.09651612019897397
CL0,Nscore,3.27393,0.0914084935397567
CL0,Escore,-3.27393,0.08747751709555601
CL0,Escore,-3.00537,0.09065166814977935
CL0,Escore,-2.72827,0.09399172133196826
CL0,Escore,-2.5383,0.0963188369569695
CL0,Escore,-2.44904,0.097422553258123
CL0,Escore,-2.32338,0.09898735825376577
CL0,Escore,-2.21069,0.10040146119203162
CL0,Escore,-2.11437,0.10161814594429038
CL0,Escore,-2.03972,0.10256612082591719
CL0,Escore,-1.92173,0.10407330481991735
CL0,Escore,-1.7625,0.10612420162625484
CL0,Escore,-1.6334,0.10780104814303798
CL0,Escore,-1.50796,0.1094421723917791
CL0,Escore,-1.37639,0.1111757920373244
CL0,Escore,-1.23177,0.11309561718360248
CL0,Escore,-1.09207,0.11496401831228041
CL0,Escore,-0.9477899999999999,0.11690769298207758
CL0,Escore,-0.80615,0.11882935192203434
CL0,Escore,-0.69509,0.12034531397004564
CL0,Escore,-0.57545,0.12198724090375929
CL0,Escore,-0.43998999999999994,0.12385712402040014
CL0,Escore,-0.30033000000000004,0.12579675836517024
CL0,Escore,-0.15487,0.12782932527607793
CL0,Escore,0.0033200000000000005,0.13005370749886686
CL0,Escore,0.16767,0.1323796101395111
CL0,Escore,0.32197,0.13457665298100868
CL0,Escore,0.47617,0.13678476984220914
CL0,Escore,0.63779,0.13911208150555568
CL0,Escore,0.80523,0.14153664882343003
CL0,Escore,0.9624799999999999,0.14382563728519335
CL0,Escore,1.11406,0.14604263179622587
CL0,Escore,1.2861,0.14857088228046367
CL0,Escore,1.45421,0.15105316148581596
CL0,Escore,1.58487,0.15299014508218084
CL0,Escore,1.74091,0.15531178534097406
CL0,Escore,1.9388599999999998,0.15826949249900782
CL0,Escore,2.127,0.16109282739281816
CL0,Escore,2.32338,0.16405166035019988
CL0,Escore,2.57309,0.1678301385148955
CL0,Escore,2.8595,0.17218406303937403
CL0,Escore,3.00537,0.1744090049481354
CL0,Escore,3.27393,0.1785170865096577
CL0,Oscore,-3.27393,0.23547953664099822
CL0,Oscore,-2.8595,0.2206635711088831
CL0,Oscore,-2.63199,0.21276908733494337
CL0,Oscore,-2.39883,0.2048591455811774
CL0,Oscore,-2.21069,0.19861198909969682
CL0,Oscore,-2.09015,0.19467383238108688
CL0,Oscore,-1.97495,0.19095748324768771
CL0,Oscore,-1.82919,0.18632199518479764
CL0,Oscore,-1.68062,0.18167429410747277
CL0,Oscore,-1.55521,0.17781202817856334
CL0,Oscore,-1.42424,0.17383829940800585
CL0,Oscore,-1.2755299999999998,0.16940058198758387
CL0,Oscore,-1.1190200000000001,0.1648155877848639
CL0,Oscore,-0.97631,0.16071139347191277
CL0,Oscore,-0.8473200000000001,0.15706461005086259
CL0,Oscore,-0.71727,0.1534482408532451
CL0,Oscore,-0.58331,0.14978646990942338
CL0,Oscore,-0.45174,0.14625247525442028
CL0,Oscore,-0.31776,0.14271718815630913
CL0,Oscore,-0.17779,0.13909200307736985
CL0,Oscore,-0.019280000000000002,0.13507038963325022
CL0,Oscore,0.14143,0.13108330528657972
CL0,Oscore,0.29338000000000003,0.1273967019321143
CL0,Oscore,0.44585,0.12377816170345252
CL0,Oscore,0.58331,0.12058462197378463
CL0,Oscore,0.7233,0.11739880731034416
CL0,Oscore,0.8830899999999999,0.113843713279538
CL0,Oscore,1.0623799999999999,0.10995693283674414
CL0,Oscore,1.24033,0.1062047745562229
CL0,Oscore,1.43533,0.10221225676248799
CL0,Oscore,1.6565299999999998,0.09783179222747103
CL0,Oscore,1.8851099999999998,0.09346800401005387
CL0,Oscore,2.1532400000000003,0.08855556539078693
CL0,Oscore,2.44904,0.08338813727510579
CL0,Oscore,2.90161,0.07597580744816528
CL0,Ascore,-3.4643599999999997,0.08964052921121464
CL0,Ascore,-3.15735,0.09283248486943207
CL0,Ascore,-3.00537,0.0944445066222441
CL0,Ascore,-2.90161,0.0955572858665791
CL0,Ascore,-2.78793,0.09678788261487113
CL0,Ascore,-2.70172,0.09772910984401904
CL0,Ascore,-2.5383,0.09953230793413201
CL0,Ascore,-2.35413,0.10159442337853353
CL0,Ascore,-2.21844,0.10313412963574237
CL0,Ascore,-2.07848,0.10474051385059832
CL0,Ascore,-1.92595,0.10651232868792689
CL0,Ascore,-1.772,0.10832310403109881
CL0,Ascore,-1.6209,0.1101223880182608
CL0,Ascore,-1.47955,0.11182539730387234
CL0,Ascore,-1.34289,0.11349018166547901
CL0,Ascore,-1.21213,0.11509996601840027
CL0,Ascore,-1.07533,0.11680181751307823
CL0,Ascore,-0.91699,0.11879430454882685
CL0,Ascore,-0.7609600000000001,0.12078157695526913
CL0,Ascore,-0.60633,0.12277443469561489
CL0,Ascore,-0.45321000000000006,0.1247708510435919
CL0,Ascore,-0.30172,0.12676859903229834
CL0,Ascore,-0.15487,0.12872663374684307
CL0,Ascore,-0.01729,0.13058027375450923
CL0,Ascore,0.13136,0.1326039689372042
CL0,Ascore,0.28783000000000003,0.13475760427438493
CL0,Ascore,0.43851999999999997,0.13685446341784605
CL0,Ascore,0.59042,0.13899078961064903
CL0,Ascore,0.7609600000000001,0.14141634712286047
CL0,Ascore,0.9415600000000001,0.14401620923529218
CL0,Ascore,1.11406,0.1465294412352221
CL0,Ascore,1.2861,0.14906511754180826
CL0,Ascore,1.45039,0.1515137066487378
CL0,Ascore,1.6110799999999998,0.15393425281148895
CL0,Ascore,1.81866,0.15709854492884648
CL0,Ascore,2.03972,0.16051458664009663
CL0,Ascore,2.23427,0.16356032040540763
CL0,Ascore,2.4626200000000003,0.16718201720892115
CL0,Ascore,2.75696,0.17192453946171682
CL0,Ascore,3.15735,0.1785089216985892
CL0,Ascore,3.4643599999999997,0.18366062307632303
CL0,Cscore,-3.4643599999999997,0.08463526062851408
CL0,Cscore,-3.15735,0.08827186528979489
CL0,Cscore,-2.90161,0.09138969005485785
CL0,Cscore,-2.72827,0.09354902838093282
CL0,Cscore,-2.57309,0.09551389121272218
CL0,Cscore,-2.4231700000000003,0.09744074356473215
CL0,Cscore,-2.30408,0.09899143573238675
CL0,Cscore,-2.18109,0.10061162044185215
CL0,Cscore,-2.04506,0.10242577215585075
CL0,Cscore,-1.92173,0.10409072982368639
CL0,Cscore,-1.7816900000000002,0.1060045761962171
CL0,Cscore,-1.6410099999999999,0.10795215307609245
CL0,Cscore,-1.5184,0.1096700110937197
CL0,Cscore,-1.3850200000000001,0.11156040026832109
