Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.09181678530538462
CL0,Age,-0.07854,0.13159831933469046
CL0,Age,0.49788000000000004,0.1263096051390016
CL0,Age,1.09449,0.22366978978594393
CL0,Age,1.82213,0.7748032094108044
CL0,Age,2.59171,0.9968970486012535
CL0,Gender,-0.48246000000000006,0.08584130581294229
CL0,Gender,0.48246000000000006,0.23343728918803783
CL0,Education,-2.43591,0.23686729886840407
CL0,Education,-1.7379,0.15751320782859807
CL0,Education,-1.43719,0.12982566464232642
CL0,Education,-1.22751,0.11464534894936013
CL0,Education,-0.6111300000000001,0.09450510762027313
CL0,Education,-0.059210000000000006,0.11161239803965152
CL0,Education,0.45468000000000003,0.16281172391099727
CL0,Education,1.16365,0.26405543827559813
CL0,Education,1.98437,0.3297734914193487
CL0,Country,-0.57009,0.013987380803860383
CL0,Country,-0.46841000000000005,0.017988624265996123
CL0,Country,-0.28519,0.030871346758971015
CL0,Country,-0.09765,0.058875135956270766
CL0,Country,0.21128000000000002,0.1570055133733926
CL0,Country,0.24923,0.17249937587077288
CL0,Country,0.9608200000000001,0.3938334790226229
CL0,Ethnicity,-1.1070200000000001,0.0006946591685753367
CL0,Ethnicity,-0.50212,0.43287334335649014
CL0,Ethnicity,-0.31685,0.0788574370110333
CL0,Ethnicity,-0.22166,0.11724239253205224
CL0,Ethnicity,0.1144,0.08922621668891921
CL0,Ethnicity,0.126,0.0808228206533116
CL0,Ethnicity,1.90725,8.859005606682682e-31
CL0,Nscore,-3.4643599999999997,0.27914286905096464
CL0,Nscore,-3.15735,0.26665460284377357
CL0,Nscore,-2.75696,0.2503555400373849
CL0,Nscore,-2.52197,0.2409174284060921
CL0,Nscore,-2.4231700000000003,0.23700179555875386
CL0,Nscore,-2.3436,0.23387681353053347
CL0,Nscore,-2.21844,0.22902054982176615
CL0,Nscore,-2.05048,0.22263492246690544
CL0,Nscore,-1.86962,0.21595424637545713
CL0,Nscore,-1.69163,0.20960543502807105
CL0,Nscore,-1.5507799999999998,0.20475680980768754
CL0,Nscore,-1.43907,0.2010293437913403
CL0,Nscore,-1.32828,0.19744066951482395
CL0,Nscore,-1.1943,0.1932500748800077
CL0,Nscore,-1.05308,0.18901551913079975
CL0,Nscore,-0.92104,0.18522977501031393
CL0,Nscore,-0.79151,0.18168139699774388
CL0,Nscore,-0.67825,0.17828430373515197
CL0,Nscore,-0.58016,0.13437675578722985
CL0,Nscore,-0.46725,0.04211412813991867
