Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.07659627036048956
CL0,Age,-0.07854,0.12108560010770203
CL0,Age,0.49788000000000004,0.12109400691798228
CL0,Age,1.09449,0.08214777781165389
CL0,Age,1.82213,0.03332277984690362
CL0,Age,2.59171,0.01024311046314078
CL0,Gender,-0.48246000000000006,0.09797814984709838
CL0,Gender,0.48246000000000006,0.16032143774979923
CL0,Education,-2.43591,0.07351583633488164
CL0,Education,-1.7379,0.10104529851253748
CL0,Education,-1.43719,0.10929786085128541
CL0,Education,-1.22751,0.1136048195580265
CL0,Education,-0.6111300000000001,0.120402177698058
CL0,Education,-0.059210000000000006,0.12124640808193937
CL0,Education,0.45468000000000003,0.11947470791294683
CL0,Education,1.16365,0.1148598001465951
CL0,Education,1.98437,0.10792105883278268
CL0,Country,-0.57009,0.06118046449994911
CL0,Country,-0.46841000000000005,0.06877809589521655
CL0,Country,-0.28519,0.08436669476620712
CL0,Country,-0.09765,0.10303680561746792
CL0,Country,0.21128000000000002,0.1402164855470994
CL0,Country,0.24923,0.14535264444771623
CL0,Country,0.9608200000000001,0.2638759417757277
CL0,Ethnicity,-1.1070200000000001,0.3055283304308166
CL0,Ethnicity,-0.50212,0.16149490247257967
CL0,Ethnicity,-0.31685,0.1269900786413845
CL0,Ethnicity,-0.22166,0.11108521433600954
CL0,Ethnicity,0.1144,0.06441676924432915
CL0,Ethnicity,0.126,0.06306030488514111
CL0,Ethnicity,1.90725,0.00013374272334511434
CL0,Nscore,-3.4643599999999997,0.032280484241127436
CL0,Nscore,-3.15735,0.03979330162355849
CL0,Nscore,-2.75696,0.05058334975171003
CL0,Nscore,-2.52197,0.05724807692252151
CL0,Nscore,-2.4231700000000003,0.060088454509308505
CL0,Nscore,-2.3436,0.0623841563346685
CL0,Nscore,-2.21844,0.0659995331575892
CL0,Nscore,-2.05048,0.0708367837261914
CL0,Nscore,-1.86962,0.0759938310006246
CL0,Nscore,-1.69163,0.08098507746939528
CL0,Nscore,-1.5507799999999998,0.08485881082671959
CL0,Nscore,-1.43907,0.08787614915017826
CL0,Nscore,-1.32828,0.09081650797918313
CL0,Nscore,-1.1943,0.09429895249998926
CL0,Nscore,-1.05308,0.09787898001082247
CL0,Nscore,-0.92104,0.10113994819397364
CL0,Nscore,-0.79151,0.10425687844191187
CL0,Nscore,-0.67825,0.10691562116422465
CL0,Nscore,-0.58016,0.10916825702064245
CL0,Nscore,-0.46725,0.11170435039705753
CL0,Nscore,-0.34799,0.11431787944928462
CL0,Nscore,-0.24649000000000001,0.11649034284364747
CL0,Nscore,-0.14882,0.11853663050720842
CL0,Nscore,-0.051879999999999996,0.12052555057081993
CL0,Nscore,0.04257,0.12242383268239188
CL0,Nscore,0.13606,0.1242651169039003
CL0,Nscore,0.22393000000000002,0.12596216495312687
CL0,Nscore,0.31287,0.12764738540881276
CL0,Nscore,0.41667,0.1295736213250765
CL0,Nscore,0.52135,0.13147283213117092
CL0,Nscore,0.62967,0.13339318716274057
CL0,Nscore,0.73545,0.1352253140636335
CL0,Nscore,0.82562,0.13675397887361995
CL0,Nscore,0.9109299999999999,0.13817265426005074
CL0,Nscore,1.02119,0.13996708648715542
CL0,Nscore,1.13281,0.1417393629300887
CL0,Nscore,1.23461,0.14331743819383722
CL0,Nscore,1.37297,0.1454045552226836
CL0,Nscore,1.49158,0.14714152389265772
CL0,Nscore,1.6038299999999999,0.1487414894821109
CL0,Nscore,1.72012,0.15035450334026906
