Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.0952914537766931
CL0,Age,-0.07854,0.11236551958085172
CL0,Age,0.49788000000000004,0.17121662099091134
CL0,Age,1.09449,0.2185957120721288
CL0,Age,1.82213,0.3358293766456242
CL0,Age,2.59171,0.6559579682883241
CL0,Gender,-0.48246000000000006,0.09939948916607769
CL0,Gender,0.48246000000000006,0.1865571750870368
CL0,Education,-2.43591,0.05402161344185396
CL0,Education,-1.7379,0.07970018057064625
CL0,Education,-1.43719,0.0897468127560531
CL0,Education,-1.22751,0.0964594531292292
CL0,Education,-0.6111300000000001,0.11622447842387354
CL0,Education,-0.059210000000000006,0.13677761976548547
CL0,Education,0.45468000000000003,0.16029343661465476
CL0,Education,1.16365,0.1956173944709821
CL0,Education,1.98437,0.21108553468041483
CL0,Country,-0.57009,0.020249463904182908
CL0,Country,-0.46841000000000005,0.028955113924309855
CL0,Country,-0.28519,0.05079812724575365
CL0,Country,-0.09765,0.0810030369376477
CL0,Country,0.21128000000000002,0.13998440656779093
CL0,Country,0.24923,0.14719572127729563
CL0,Country,0.9608200000000001,0.22745469192976825
CL0,Ethnicity,-1.1070200000000001,0.24166904339195922
CL0,Ethnicity,-0.50212,0.31348048541131046
CL0,Ethnicity,-0.31685,0.04488946065946819
CL0,Ethnicity,-0.22166,0.09243212843953419
CL0,Ethnicity,0.1144,0.38219414488823583
CL0,Ethnicity,0.126,0.37662596986944685
CL0,Ethnicity,1.90725,1.451877976123344e-07
CL0,Nscore,-3.4643599999999997,0.15666343497277754
CL0,Nscore,-3.15735,0.17621909088060356
CL0,Nscore,-2.75696,0.193601435079632
CL0,Nscore,-2.52197,0.19844024948471564
CL0,Nscore,-2.4231700000000003,0.19924721678111532
CL0,Nscore,-2.3436,0.1993895025839103
CL0,Nscore,-2.21844,0.19874953344620688
CL0,Nscore,-2.05048,0.19639806748302555
CL0,Nscore,-1.86962,0.1922841227223485
CL0,Nscore,-1.69163,0.18704715612410663
CL0,Nscore,-1.5507799999999998,0.18234519403702473
CL0,Nscore,-1.43907,0.17840663138975163
CL0,Nscore,-1.32828,0.1744110091751459
CL0,Nscore,-1.1943,0.16956631738100642
CL0,Nscore,-1.05308,0.16455963049342423
CL0,Nscore,-0.92104,0.1600616552494683
CL0,Nscore,-0.79151,0.15588541630150393
CL0,Nscore,-0.67825,0.15246071541415535
CL0,Nscore,-0.58016,0.14968259569917125
CL0,Nscore,-0.46725,0.14671213767353083
CL0,Nscore,-0.34799,0.1438455804196326
CL0,Nscore,-0.24649000000000001,0.1416257820716289
CL0,Nscore,-0.14882,0.13967755898749942
CL0,Nscore,-0.051879999999999996,0.13792047721804465
CL0,Nscore,0.04257,0.1363702719050259
CL0,Nscore,0.13606,0.13498391430833534
CL0,Nscore,0.22393000000000002,0.13380557634753962
CL0,Nscore,0.31287,0.13272510900430082
CL0,Nscore,0.41667,0.13159060623299776
CL0,Nscore,0.52135,0.13056327482486044
CL0,Nscore,0.62967,0.12959704383048992
CL0,Nscore,0.73545,0.12871936496048267
CL0,Nscore,0.82562,0.1279989437168676
CL0,Nscore,0.9109299999999999,0.1273209425537207
CL0,Nscore,1.02119,0.12641890437007666
CL0,Nscore,1.13281,0.1254362098800817
CL0,Nscore,1.23461,0.12444093676160013
CL0,Nscore,1.37297,0.12287308663971523
CL0,Nscore,1.49158,0.12127376429441751
CL0,Nscore,1.6038299999999999,0.11949605107442444
CL0,Nscore,1.72012,0.11734397272937543
CL0,Nscore,1.8399,0.11476363455915153
CL0,Nscore,1.98437,0.11112840584503816
CL0,Nscore,2.127,0.10696657463265118
CL0,Nscore,2.28554,0.10169452486947227
CL0,Nscore,2.4626200000000003,0.0950853775634398
CL0,Nscore,2.61139,0.0890532110020196
CL0,Nscore,2.82196,0.08000674540403158
CL0,Nscore,3.27393,0.060152337557953
CL0,Escore,-3.27393,0.05471985563408636
CL0,Escore,-3.00537,0.06950559136659347
CL0,Escore,-2.72827,0.08535435681474411
CL0,Escore,-2.5383,0.09591353576801298
CL0,Escore,-2.44904,0.10064759570513168
CL0,Escore,-2.32338,0.10696625751609093
CL0,Escore,-2.21069,0.1122221145061919
CL0,Escore,-2.11437,0.11636660972386673
CL0,Escore,-2.03972,0.1193428745108989
CL0,Escore,-1.92173,0.12361110648966155
CL0,Escore,-1.7625,0.1285166498523705
CL0,Escore,-1.6334,0.13179441182658594
CL0,Escore,-1.50796,0.13442097135601394
CL0,Escore,-1.37639,0.13664375988148006
CL0,Escore,-1.23177,0.13854468509428428
CL0,Escore,-1.09207,0.1399372480150898
CL0,Escore,-0.9477899999999999,0.1410197673511649
CL0,Escore,-0.80615,0.1418256183478869
CL0,Escore,-0.69509,0.14233496464981119
CL0,Escore,-0.57545,0.1428078517920231
CL0,Escore,-0.43998999999999994,0.14329451943596047
CL0,Escore,-0.30033000000000004,0.1437862302340231
CL0,Escore,-0.15487,0.1443243056868697
CL0,Escore,0.0033200000000000005,0.14496614605572727
CL0,Escore,0.16767,0.14570445609984659
CL0,Escore,0.32197,0.14645132591034551
CL0,Escore,0.47617,0.14721751917916678
CL0,Escore,0.63779,0.14798655546896353
CL0,Escore,0.80523,0.1486629084272777
CL0,Escore,0.9624799999999999,0.149089444804876
