Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.12271981274141493
CL0,Age,-0.07854,0.13905586275122295
CL0,Age,0.49788000000000004,0.1448548073122944
CL0,Age,1.09449,0.14571375906212658
CL0,Age,1.82213,0.14172726144775508
CL0,Age,2.59171,0.13633447876743746
CL0,Gender,-0.48246000000000006,0.12964945442904965
CL0,Gender,0.48246000000000006,0.1504853227502913
CL0,Education,-2.43591,0.11028765883719183
CL0,Education,-1.7379,0.11873975386734742
CL0,Education,-1.43719,0.12238664421186014
CL0,Education,-1.22751,0.12492431922093931
CL0,Education,-0.6111300000000001,0.13232866483375644
CL0,Education,-0.059210000000000006,0.13884470336196808
CL0,Education,0.45468000000000003,0.14477473138303545
CL0,Education,1.16365,0.15268428475057283
CL0,Education,1.98437,0.1613798918796388
CL0,Country,-0.57009,0.11547063412557826
CL0,Country,-0.46841000000000005,0.11813659741425953
CL0,Country,-0.28519,0.12299489858596606
CL0,Country,-0.09765,0.1280313658751629
CL0,Country,0.21128000000000002,0.136438911091741
CL0,Country,0.24923,0.13747923900558337
CL0,Country,0.9608200000000001,0.15712664094835374
CL0,Ethnicity,-1.1070200000000001,0.23848843941786604
CL0,Ethnicity,-0.50212,0.16149544460235601
CL0,Ethnicity,-0.31685,0.1406571546921148
CL0,Ethnicity,-0.22166,0.13060685731986868
CL0,Ethnicity,0.1144,0.09895831282518505
CL0,Ethnicity,0.126,0.09797480856732264
CL0,Ethnicity,1.90725,0.01705399097534707
CL0,Nscore,-3.4643599999999997,0.14876002611620598
CL0,Nscore,-3.15735,0.14825674644423062
CL0,Nscore,-2.75696,0.14751245799137014
CL0,Nscore,-2.52197,0.14702912537914742
CL0,Nscore,-2.4231700000000003,0.1468156379978398
CL0,Nscore,-2.3436,0.1466392861707532
CL0,Nscore,-2.21844,0.14635392922863333
CL0,Nscore,-2.05048,0.14595572376458354
CL0,Nscore,-1.86962,0.14550744204612806
CL0,Nscore,-1.69163,0.14504664153902602
CL0,Nscore,-1.5507799999999998,0.14466827282835923
CL0,Nscore,-1.43907,0.14435961628763735
CL0,Nscore,-1.32828,0.14404605967522727
CL0,Nscore,-1.1943,0.1436570327026719
CL0,Nscore,-1.05308,0.14323541144699883
CL0,Nscore,-0.92104,0.14283054652049046
CL0,Nscore,-0.79151,0.14242346875754025
CL0,Nscore,-0.67825,0.1420595556423064
CL0,Nscore,-0.58016,0.14173843231980127
CL0,Nscore,-0.46725,0.14136201360379655
CL0,Nscore,-0.34799,0.14095662480451182
CL0,Nscore,-0.24649000000000001,0.14060535912357103
CL0,Nscore,-0.14882,0.14026198174519178
CL0,Nscore,-0.051879999999999996,0.13991601957589359
CL0,Nscore,0.04257,0.13957405912389048
CL0,Nscore,0.13606,0.13923087706531587
CL0,Nscore,0.22393000000000002,0.13890411004821204
CL0,Nscore,0.31287,0.13856925009411272
CL0,Nscore,0.41667,0.13817326952383602
CL0,Nscore,0.52135,0.13776836196211587
CL0,Nscore,0.62967,0.13734356973698125
CL0,Nscore,0.73545,0.13692312492620548
CL0,Nscore,0.82562,0.1365604101684762
CL0,Nscore,0.9109299999999999,0.1362136403579652
CL0,Nscore,1.02119,0.13576033750877325
CL0,Nscore,1.13281,0.13529566405725915
CL0,Nscore,1.23461,0.1348668917850926
CL0,Nscore,1.37297,0.1342766696528067
CL0,Nscore,1.49158,0.13376399865938304
CL0,Nscore,1.6038299999999999,0.13327325139413218
CL0,Nscore,1.72012,0.13275925983418788
CL0,Nscore,1.8399,0.13222404135433335
CL0,Nscore,1.98437,0.13157087201304665
CL0,Nscore,2.127,0.1309180783949229
CL0,Nscore,2.28554,0.1301835133971373
CL0,Nscore,2.4626200000000003,0.12935231792921686
CL0,Nscore,2.61139,0.1286456027459123
CL0,Nscore,2.82196,0.1276328019259021
CL0,Nscore,3.27393,0.12541306076155098
CL0,Escore,-3.27393,0.12418315187218856
CL0,Escore,-3.00537,0.1256301633854173
CL0,Escore,-2.72827,0.12709880247918218
CL0,Escore,-2.5383,0.1280901631837771
CL0,Escore,-2.44904,0.12855137115103255
CL0,Escore,-2.32338,0.1291954866834487
CL0,Escore,-2.21069,0.12976782410581175
CL0,Escore,-2.11437,0.13025293619651754
CL0,Escore,-2.03972,0.13062625776181647
CL0,Escore,-1.92173,0.1312114914220671
CL0,Escore,-1.7625,0.13199164302664457
CL0,Escore,-1.6334,0.1326158047407754
CL0,Escore,-1.50796,0.13321488619641111
CL0,Escore,-1.37639,0.13383522170883141
CL0,Escore,-1.23177,0.13450737065328652
CL0,Escore,-1.09207,0.1351467514342202
CL0,Escore,-0.9477899999999999,0.1357966329851317
CL0,Escore,-0.80615,0.13642404944890626
CL0,Escore,-0.69509,0.13690853374386974
CL0,Escore,-0.57545,0.1374229680403983
CL0,Escore,-0.43998999999999994,0.13799590946799525
CL0,Escore,-0.30033000000000004,0.13857585828672433
CL0,Escore,-0.15487,0.13916808958464777
CL0,Escore,0.0033200000000000005,0.13979826043750054
CL0,Escore,0.16767,0.14043740249782974
CL0,Escore,0.32197,0.14102281208171602
CL0,Escore,0.47617,0.1415934855099958
CL0,Escore,0.63779,0.14217603769699466
CL0,Escore,0.80523,0.14276257341176582
CL0,Escore,0.9624799999999999,0.14329752323866873
CL0,Escore,1.11406,0.1437985055075883
CL0,Escore,1.2861,0.1443495436306141
CL0,Escore,1.45421,0.14486986416088365
CL0,Escore,1.58487,0.14526185329648192
CL0,Escore,1.74091,0.14571572264750624
CL0,Escore,1.9388599999999998,0.1462691381647043
CL0,Escore,2.127,0.14677196820699576
CL0,Escore,2.32338,0.14727280825636732
CL0,Escore,2.57309,0.14787441863560116
CL0,Escore,2.8595,0.1485163022116713
CL0,Escore,3.00537,0.1488236610605017
CL0,Escore,3.27393,0.14935550940061887
CL0,Oscore,-3.27393,0.2002389242849215
CL0,Oscore,-2.8595,0.19235518968032422
CL0,Oscore,-2.63199,0.18805098104293497
CL0,Oscore,-2.39883,0.18366143712480543
CL0,Oscore,-2.21069,0.18013756843384884
CL0,Oscore,-2.09015,0.1778892063893599
CL0,Oscore,-1.97495,0.17574775738970058
CL0,Oscore,-1.82919,0.1730490644171599
CL0,Oscore,-1.68062,0.1703115285760966
