Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,1.2815892748204538e-08
CL0,Age,-0.07854,0.3229447618072394
CL0,Age,0.49788000000000004,0.4735371832578903
CL0,Age,1.09449,0.8037201514580591
CL0,Age,1.82213,0.9883545529077615
CL0,Age,2.59171,0.9998839924285343
CL0,Gender,-0.48246000000000006,5.946663277567455e-08
CL0,Gender,0.48246000000000006,2.9642295310850533e-08
CL0,Education,-2.43591,0.3328440823251924
CL0,Education,-1.7379,0.415418128087374
CL0,Education,-1.43719,0.44613366963312356
CL0,Education,-1.22751,0.46540956473496464
CL0,Education,-0.6111300000000001,2.876291969083711e-08
CL0,Education,-0.059210000000000006,0.5372470794848074
CL0,Education,0.45468000000000003,0.5493162697066478
CL0,Education,1.16365,0.5465701634408278
CL0,Education,1.98437,0.5151838320617537
CL0,Country,-0.57009,1.582557886326837e-08
CL0,Country,-0.46841000000000005,0.05138494042349286
CL0,Country,-0.28519,0.06273092649298984
CL0,Country,-0.09765,0.42614990030385297
CL0,Country,0.21128000000000002,0.9998654389389917
CL0,Country,0.24923,0.9999734552073446
CL0,Country,0.9608200000000001,1.0
CL0,Ethnicity,-1.1070200000000001,1.0
CL0,Ethnicity,-0.50212,0.5253351175611287
CL0,Ethnicity,-0.31685,1.484805246238835e-07
CL0,Ethnicity,-0.22166,0.9984526623160372
CL0,Ethnicity,0.1144,1.1724082351451447e-09
CL0,Ethnicity,0.126,1.0
CL0,Ethnicity,1.90725,1.0
CL0,Nscore,-3.4643599999999997,0.5650520554507126
CL0,Nscore,-3.15735,0.5866193002088635
CL0,Nscore,-2.75696,0.6075956565334433
CL0,Nscore,-2.52197,0.6158553152548168
CL0,Nscore,-2.4231700000000003,0.6183065945332852
CL0,Nscore,-2.3436,0.6197854737079631
CL0,Nscore,-2.21844,0.621112932995567
CL0,Nscore,-2.05048,0.6206542742291506
CL0,Nscore,-1.86962,0.6166199332367129
CL0,Nscore,-1.69163,0.60815301746503
CL0,Nscore,-1.5507799999999998,0.597649934078361
CL0,Nscore,-1.43907,0.5866325278252726
CL0,Nscore,-1.32828,0.5732242895126487
CL0,Nscore,-1.1943,0.5537018137670058
CL0,Nscore,-1.05308,0.5294720587979856
CL0,Nscore,-0.92104,0.5039886751458882
CL0,Nscore,-0.79151,0.47711010314386565
CL0,Nscore,-0.67825,0.4504495505063574
CL0,Nscore,-0.58016,0.19828836328801816
CL0,Nscore,-0.46725,6.998419499811541e-08
CL0,Nscore,-0.34799,0.2272872054619218
CL0,Nscore,-0.24649000000000001,0.3635573511325178
CL0,Nscore,-0.14882,0.34676004015075
CL0,Nscore,-0.051879999999999996,0.33097383118512347
CL0,Nscore,0.04257,0.3170406576077519
CL0,Nscore,0.13606,0.30469672169306866
CL0,Nscore,0.22393000000000002,0.2944137278078868
CL0,Nscore,0.31287,0.28529054220164535
CL0,Nscore,0.41667,0.2762331693542647
CL0,Nscore,0.52135,0.26876118340079147
CL0,Nscore,0.62967,0.26268638376797554
