Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.9992277588276584
CL0,Age,-0.07854,0.9995529049535098
CL0,Age,0.49788000000000004,0.9996019498337352
CL0,Age,1.09449,0.9996435815691437
CL0,Age,1.82213,0.9996880723608235
CL0,Age,2.59171,0.9997290598370365
CL0,Gender,-0.48246000000000006,0.9998830326102184
CL0,Gender,0.48246000000000006,0.9790127452116065
CL0,Education,-2.43591,0.06293413434315182
CL0,Education,-1.7379,0.9108116749205251
CL0,Education,-1.43719,0.9862561919616333
CL0,Education,-1.22751,0.995437943522772
CL0,Education,-0.6111300000000001,0.9993946378988634
CL0,Education,-0.059210000000000006,0.9998356638031987
CL0,Education,0.45468000000000003,0.9999490529964656
CL0,Education,1.16365,0.9999896641340345
CL0,Education,1.98437,0.9999983118588563
CL0,Country,-0.57009,0.9978197255973993
CL0,Country,-0.46841000000000005,0.9987570749348813
CL0,Country,-0.28519,0.999521253011607
CL0,Country,-0.09765,0.9998130484935873
CL0,Country,0.21128000000000002,0.9999592089942271
CL0,Country,0.24923,0.9999661336338268
CL0,Country,0.9608200000000001,0.9999989482430811
CL0,Ethnicity,-1.1070200000000001,0.08223659218605059
CL0,Ethnicity,-0.50212,0.997423402438448
CL0,Ethnicity,-0.31685,0.999196542591269
CL0,Ethnicity,-0.22166,0.9995109410847095
CL0,Ethnicity,0.1144,0.9996991664963423
CL0,Ethnicity,0.126,0.9996882283223134
CL0,Ethnicity,1.90725,0.11168561006728077
CL0,Nscore,-3.4643599999999997,0.9846388953662315
CL0,Nscore,-3.15735,0.9886606361103484
CL0,Nscore,-2.75696,0.9923554501450919
CL0,Nscore,-2.52197,0.993929276725664
CL0,Nscore,-2.4231700000000003,0.9944889119589736
CL0,Nscore,-2.3436,0.9949014338772237
CL0,Nscore,-2.21844,0.9954879967775857
CL0,Nscore,-2.05048,0.9961693054548771
CL0,Nscore,-1.86962,0.9967870267274369
CL0,Nscore,-1.69163,0.9972964128355901
CL0,Nscore,-1.5507799999999998,0.9976408344622917
CL0,Nscore,-1.43907,0.9978820553887472
CL0,Nscore,-1.32828,0.9980965414143514
CL0,Nscore,-1.1943,0.9983266419024361
