,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_LogisticRegression__C,param_LogisticRegression__max_iter,param_LogisticRegression__multi_class,param_LogisticRegression__solver,param_LogisticRegression__tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
240,0.5012765645980835,0.17016121738097625,0.0008033037185668946,2.2598773879288942e-05,0.001,50,multinomial,newton-cg,1e-05,"{'LogisticRegression__C': 0.001, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 1e-05}",0.42759295499021527,0.4500978473581213,0.45303326810176126,0.4344422700587084,0.4050880626223092,0.39113300492610836,0.42561576354679803,0.4246305418719212,0.46798029556650245,0.4187192118226601,0.42984781541482575,0.021687534150128678,1,0.43271854196223947,0.4271526792535196,0.432063734584743,0.43129979264433044,0.4377387318563789,0.4437295528898582,0.4402399127589967,0.4375136314067612,0.42660850599781897,0.43391494002181025,0.4342980023376457,0.005227293532166708
241,0.36085588932037355,0.0408731098279941,0.0008219718933105469,4.071351708915888e-05,0.001,50,multinomial,newton-cg,0.0001,"{'LogisticRegression__C': 0.001, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 0.0001}",0.42759295499021527,0.4500978473581213,0.45303326810176126,0.4344422700587084,0.4050880626223092,0.39113300492610836,0.42561576354679803,0.4246305418719212,0.46798029556650245,0.4187192118226601,0.42984781541482575,0.021687534150128678,1,0.43271854196223947,0.4271526792535196,0.432063734584743,0.43129979264433044,0.4377387318563789,0.4437295528898582,0.4402399127589967,0.4375136314067612,0.42660850599781897,0.43391494002181025,0.4342980023376457,0.005227293532166708
242,0.40306754112243653,0.058441160529268295,0.0007983684539794922,2.8095624109267465e-05,0.001,50,multinomial,newton-cg,0.001,"{'LogisticRegression__C': 0.001, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'newton-cg', 'LogisticRegression__tol': 0.001}",0.42759295499021527,0.4500978473581213,0.45303326810176126,0.4344422700587084,0.4050880626223092,0.39113300492610836,0.42561576354679803,0.4246305418719212,0.46798029556650245,0.4187192118226601,0.42984781541482575,0.021687534150128678,1,0.43271854196223947,0.4271526792535196,0.432063734584743,0.43129979264433044,0.4377387318563789,0.4437295528898582,0.4402399127589967,0.4375136314067612,0.42660850599781897,0.43391494002181025,0.4342980023376457,0.005227293532166708
243,0.15447862148284913,0.046521621139432846,0.0008011817932128906,2.7907442094044684e-05,0.001,50,multinomial,lbfgs,1e-05,"{'LogisticRegression__C': 0.001, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 1e-05}",0.42759295499021527,0.4500978473581213,0.45303326810176126,0.4344422700587084,0.4050880626223092,0.39113300492610836,0.42561576354679803,0.4246305418719212,0.46798029556650245,0.4187192118226601,0.42984781541482575,0.021687534150128678,1,0.43391902215431627,0.4271526792535196,0.432063734584743,0.43129979264433044,0.4377387318563789,0.4437295528898582,0.44034896401308615,0.4375136314067612,0.42660850599781897,0.4327153762268266,0.43430899910276394,0.005239842600106313
244,0.1496945858001709,0.043836978520478104,0.0008216142654418945,4.576400376295007e-05,0.001,50,multinomial,lbfgs,0.0001,"{'LogisticRegression__C': 0.001, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 0.0001}",0.42759295499021527,0.4500978473581213,0.45303326810176126,0.4344422700587084,0.4050880626223092,0.39113300492610836,0.42561576354679803,0.4246305418719212,0.46798029556650245,0.4187192118226601,0.42984781541482575,0.021687534150128678,1,0.43391902215431627,0.4271526792535196,0.432063734584743,0.43129979264433044,0.4377387318563789,0.4437295528898582,0.44034896401308615,0.4375136314067612,0.42660850599781897,0.4327153762268266,0.43430899910276394,0.005239842600106313
245,0.13988678455352782,0.04142092517611627,0.0008039236068725586,3.179121110075651e-05,0.001,50,multinomial,lbfgs,0.001,"{'LogisticRegression__C': 0.001, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'lbfgs', 'LogisticRegression__tol': 0.001}",0.42759295499021527,0.4500978473581213,0.45303326810176126,0.4344422700587084,0.4050880626223092,0.39113300492610836,0.42561576354679803,0.4246305418719212,0.46798029556650245,0.4187192118226601,0.42984781541482575,0.021687534150128678,1,0.43391902215431627,0.4271526792535196,0.432063734584743,0.43129979264433044,0.4377387318563789,0.4437295528898582,0.44034896401308615,0.4375136314067612,0.42660850599781897,0.4327153762268266,0.43430899910276394,0.005239842600106313
246,0.37180538177490235,0.059820597186543915,0.0008243799209594726,3.409803304903607e-05,0.001,50,multinomial,sag,1e-05,"{'LogisticRegression__C': 0.001, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'sag', 'LogisticRegression__tol': 1e-05}",0.42759295499021527,0.4500978473581213,0.45303326810176126,0.4344422700587084,0.4050880626223092,0.39113300492610836,0.42561576354679803,0.4246305418719212,0.46798029556650245,0.4187192118226601,0.42984781541482575,0.021687534150128678,1,0.43271854196223947,0.4271526792535196,0.432063734584743,0.43129979264433044,0.4377387318563789,0.4437295528898582,0.4402399127589967,0.4375136314067612,0.42660850599781897,0.43391494002181025,0.4342980023376457,0.005227293532166708
247,0.3027834415435791,0.05520098224244054,0.0008230209350585938,3.437231960416082e-05,0.001,50,multinomial,sag,0.0001,"{'LogisticRegression__C': 0.001, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'sag', 'LogisticRegression__tol': 0.0001}",0.42759295499021527,0.4500978473581213,0.45303326810176126,0.4344422700587084,0.4050880626223092,0.39113300492610836,0.42561576354679803,0.4246305418719212,0.46798029556650245,0.4187192118226601,0.42984781541482575,0.021687534150128678,1,0.4340281567172323,0.4271526792535196,0.432063734584743,0.43129979264433044,0.4377387318563789,0.4437295528898582,0.43849509269356596,0.4375136314067612,0.42660850599781897,0.43391494002181025,0.43425448180660187,0.005031047862323243
249,0.7691460609436035,0.13239839932676348,0.0008408069610595703,3.407137469654219e-05,0.001,50,multinomial,saga,1e-05,"{'LogisticRegression__C': 0.001, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'saga', 'LogisticRegression__tol': 1e-05}",0.42759295499021527,0.4500978473581213,0.45303326810176126,0.4344422700587084,0.4050880626223092,0.39113300492610836,0.42561576354679803,0.4246305418719212,0.46798029556650245,0.4187192118226601,0.42984781541482575,0.021687534150128678,1,0.43271854196223947,0.4271526792535196,0.432063734584743,0.43129979264433044,0.4377387318563789,0.4437295528898582,0.4402399127589967,0.4375136314067612,0.42660850599781897,0.43391494002181025,0.4342980023376457,0.005227293532166708
250,0.5702241897583008,0.08088026204733267,0.0008129119873046875,2.6220234314183446e-05,0.001,50,multinomial,saga,0.0001,"{'LogisticRegression__C': 0.001, 'LogisticRegression__max_iter': 50, 'LogisticRegression__multi_class': 'multinomial', 'LogisticRegression__solver': 'saga', 'LogisticRegression__tol': 0.0001}",0.42759295499021527,0.4500978473581213,0.45303326810176126,0.4344422700587084,0.4050880626223092,0.39113300492610836,0.42561576354679803,0.4246305418719212,0.46798029556650245,0.4187192118226601,0.42984781541482575,0.021687534150128678,1,0.43271854196223947,0.4271526792535196,0.432063734584743,0.43129979264433044,0.4377387318563789,0.4437295528898582,0.4402399127589967,0.4375136314067612,0.42660850599781897,0.4338058887677208,0.4342870972122368,0.005228194970777277
