Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.04702644651703457
CL0,Age,-0.07854,0.19716847922326766
CL0,Age,0.49788000000000004,0.3248993510947443
CL0,Age,1.09449,0.4195037211497179
CL0,Age,1.82213,0.7643265199422346
CL0,Age,2.59171,0.9820416831717032
CL0,Gender,-0.48246000000000006,0.09753033483584145
CL0,Gender,0.48246000000000006,0.2291738618974984
CL0,Education,-2.43591,0.12530561705564336
CL0,Education,-1.7379,0.1424518230077811
CL0,Education,-1.43719,0.12921861740111423
CL0,Education,-1.22751,0.11788303399523854
CL0,Education,-0.6111300000000001,0.10084136955998352
CL0,Education,-0.059210000000000006,0.1199397725502833
CL0,Education,0.45468000000000003,0.17328833601636442
CL0,Education,1.16365,0.27400509985235627
CL0,Education,1.98437,0.27879070452043947
CL0,Country,-0.57009,0.05320325611296334
CL0,Country,-0.46841000000000005,0.0552879564997599
CL0,Country,-0.28519,0.06688084531469493
CL0,Country,-0.09765,0.09192275038983123
CL0,Country,0.21128000000000002,0.1557581361355551
CL0,Country,0.24923,0.164284701744349
CL0,Country,0.9608200000000001,0.3245060875398399
CL0,Ethnicity,-1.1070200000000001,2.6492637457061886e-11
CL0,Ethnicity,-0.50212,0.693789795821767
CL0,Ethnicity,-0.31685,0.10702521538345262
CL0,Ethnicity,-0.22166,0.12552129353485647
CL0,Ethnicity,0.1144,0.00426767943758199
CL0,Ethnicity,0.126,0.0027635111016380306
CL0,Ethnicity,1.90725,3.566012896844686e-92
CL0,Nscore,-3.4643599999999997,0.04400776256191416
CL0,Nscore,-3.15735,0.06463300531083897
CL0,Nscore,-2.75696,0.09738871651727904
CL0,Nscore,-2.52197,0.1182264067164679
CL0,Nscore,-2.4231700000000003,0.12700120238918042
CL0,Nscore,-2.3436,0.1339819647946984
CL0,Nscore,-2.21844,0.14468339929947965
CL0,Nscore,-2.05048,0.15822302966155233
CL0,Nscore,-1.86962,0.17130902723935734
CL0,Nscore,-1.69163,0.18222393681250046
CL0,Nscore,-1.5507799999999998,0.18921832065190908
CL0,Nscore,-1.43907,0.19361433176946538
CL0,Nscore,-1.32828,0.1968984805699719
CL0,Nscore,-1.1943,0.19937474430730673
CL0,Nscore,-1.05308,0.20017203683203735
CL0,Nscore,-0.92104,0.19924502271692174
CL0,Nscore,-0.79151,0.19682962328138084
CL0,Nscore,-0.67825,0.1935856535660091
CL0,Nscore,-0.58016,0.19000968936733348
CL0,Nscore,-0.46725,0.18513002342360385
CL0,Nscore,-0.34799,0.1792466000773822
CL0,Nscore,-0.24649000000000001,0.1737866510009278
CL0,Nscore,-0.14882,0.1682547984028348
CL0,Nscore,-0.051879999999999996,0.16259456536079292
CL0,Nscore,0.04257,0.1570033038056396
CL0,Nscore,0.13606,0.15146790345001238
CL0,Nscore,0.22393000000000002,0.14631931241125362
CL0,Nscore,0.31287,0.1412047718631402
CL0,Nscore,0.41667,0.13540258903514954
CL0,Nscore,0.52135,0.12976817673824198
CL0,Nscore,0.62967,0.12418903123129381
CL0,Nscore,0.73545,0.11899261787438191
CL0,Nscore,0.82562,0.11475339680765206
CL0,Nscore,0.9109299999999999,0.11089272964398812
CL0,Nscore,1.02119,0.10609516930131675
CL0,Nscore,1.13281,0.10142251801561597
CL0,Nscore,1.23461,0.09728405369429735
CL0,Nscore,1.37297,0.09178010244388289
CL0,Nscore,1.49158,0.08711084217051826
CL0,Nscore,1.6038299999999999,0.08268512987690178
CL0,Nscore,1.72012,0.07805593083142891
CL0,Nscore,1.8399,0.07321462341468085
CL0,Nscore,1.98437,0.06726316506552013
CL0,Nscore,2.127,0.061284188590113434
CL0,Nscore,2.28554,0.054581121189144516
CL0,Nscore,2.4626200000000003,0.04715407973040454
CL0,Nscore,2.61139,0.041092026652479706
CL0,Nscore,2.82196,0.03301112937396777
CL0,Nscore,3.27393,0.01863837911673408
CL0,Escore,-3.27393,0.013985970140075911
CL0,Escore,-3.00537,0.02298980866251456
CL0,Escore,-2.72827,0.036109374574685084
CL0,Escore,-2.5383,0.04745750215629321
CL0,Escore,-2.44904,0.05341439199894148
CL0,Escore,-2.32338,0.06240471047717624
CL0,Escore,-2.21069,0.07098356161199848
CL0,Escore,-2.11437,0.07862477307430031
CL0,Escore,-2.03972,0.08469461993647111
CL0,Escore,-1.92173,0.09445794695484888
CL0,Escore,-1.7625,0.10773191502761789
CL0,Escore,-1.6334,0.11834591429500947
CL0,Escore,-1.50796,0.1283157156122843
