Class,Feature,Value,Probability
CL0,Age,-0.9519700000000001,0.099610987340126
CL0,Age,-0.07854,0.15218383413886344
CL0,Age,0.49788000000000004,0.185657980343303
CL0,Age,1.09449,0.2102721556890045
CL0,Age,1.82213,0.21874064276598032
CL0,Age,2.59171,0.20367164306965121
CL0,Gender,-0.48246000000000006,0.11779121760586958
CL0,Gender,0.48246000000000006,0.15609187962597912
CL0,Education,-2.43591,0.11166650323447586
CL0,Education,-1.7379,0.11806416237567761
CL0,Education,-1.43719,0.1207375498680474
CL0,Education,-1.22751,0.12256695536447679
CL0,Education,-0.6111300000000001,0.12775774591846428
CL0,Education,-0.059210000000000006,0.1321373049875394
CL0,Education,0.45468000000000003,0.13595748754126336
CL0,Education,1.16365,0.14077829570193984
CL0,Education,1.98437,0.14565377332354307
CL0,Country,-0.57009,0.10695724430576023
CL0,Country,-0.46841000000000005,0.1109846890417917
CL0,Country,-0.28519,0.11841683007395627
CL0,Country,-0.09765,0.12623860298665646
CL0,Country,0.21128000000000002,0.13953117225939893
CL0,Country,0.24923,0.14119441268365135
CL0,Country,0.9608200000000001,0.17320944991141368
CL0,Ethnicity,-1.1070200000000001,0.16070166633931027
CL0,Ethnicity,-0.50212,0.1394932836774202
CL0,Ethnicity,-0.31685,0.1328753300955051
CL0,Ethnicity,-0.22166,0.12946011264077956
CL0,Ethnicity,0.1144,0.11736004298980124
CL0,Ethnicity,0.126,0.1169420628426913
CL0,Ethnicity,1.90725,0.05704545217672274
CL0,Nscore,-3.4643599999999997,0.18688745218219632
CL0,Nscore,-3.15735,0.18237098414133884
CL0,Nscore,-2.75696,0.1764108353928015
CL0,Nscore,-2.52197,0.17287852375036813
CL0,Nscore,-2.4231700000000003,0.17138631406105342
CL0,Nscore,-2.3436,0.17018162934643333
CL0,Nscore,-2.21844,0.16828164098540618
CL0,Nscore,-2.05048,0.16572263230399156
CL0,Nscore,-1.86962,0.16295594473949507
CL0,Nscore,-1.69163,0.16022280745856896
CL0,Nscore,-1.5507799999999998,0.1580533452060341
CL0,Nscore,-1.43907,0.15632891816724687
CL0,Nscore,-1.32828,0.1546156567333254
CL0,Nscore,-1.1943,0.15254012615524074
CL0,Nscore,-1.05308,0.15034860870667166
CL0,Nscore,-0.92104,0.1482965069698993
CL0,Nscore,-0.79151,0.14628104693444416
CL0,Nscore,-0.67825,0.14451720490587208
CL0,Nscore,-0.58016,0.14298871876046565
CL0,Nscore,-0.46725,0.14122857501222846
CL0,Nscore,-0.34799,0.13936896231311174
CL0,Nscore,-0.24649000000000001,0.13778619522326546
CL0,Nscore,-0.14882,0.13626333457969322
CL0,Nscore,-0.051879999999999996,0.1347522676923207
CL0,Nscore,0.04257,0.1332806315851181
CL0,Nscore,0.13606,0.13182477032040754
CL0,Nscore,0.22393000000000002,0.13045735959468963
CL0,Nscore,0.31287,0.1290744079696525
CL0,Nscore,0.41667,0.12746205878803388
CL0,Nscore,0.52135,0.12583815081408842
CL0,Nscore,0.62967,0.12416034191027786
CL0,Nscore,0.73545,0.12252473011821308
CL0,Nscore,0.82562,0.12113296438281058
CL0,Nscore,0.9109299999999999,0.11981851034976775
CL0,Nscore,1.02119,0.11812322989137007
CL0,Nscore,1.13281,0.11641153951765804
CL0,Nscore,1.23461,0.11485472387798669
CL0,Nscore,1.37297,0.11274591727788058
CL0,Nscore,1.49158,0.11094518558139747
CL0,Nscore,1.6038299999999999,0.10924747361605314
CL0,Nscore,1.72012,0.10749573366389042
CL0,Nscore,1.8399,0.10569942524278259
CL0,Nscore,1.98437,0.10354435366471952
CL0,Nscore,2.127,0.10142987148462429
CL0,Nscore,2.28554,0.09909586288627319
CL0,Nscore,2.4626200000000003,0.09651058863062749
CL0,Nscore,2.61139,0.09435740166726322
CL0,Nscore,2.82196,0.09134093215830458
CL0,Nscore,3.27393,0.08500044514356543
CL0,Escore,-3.27393,0.12140810158219649
CL0,Escore,-3.00537,0.1223550724650957
CL0,Escore,-2.72827,0.12330485289718972
CL0,Escore,-2.5383,0.12393946052253631
CL0,Escore,-2.44904,0.12423289114182787
CL0,Escore,-2.32338,0.12464075479843142
CL0,Escore,-2.21069,0.1250012569489809
CL0,Escore,-2.11437,0.1253053958124507
CL0,Escore,-2.03972,0.1255385510664797
CL0,Escore,-1.92173,0.1259024669047337
CL0,Escore,-1.7625,0.12638452869530692
CL0,Escore,-1.6334,0.12676763619955111
CL0,Escore,-1.50796,0.12713315559512
CL0,Escore,-1.37639,0.12750932545489763
CL0,Escore,-1.23177,0.1279141822204466
CL0,Escore,-1.09207,0.128296583228901
CL0,Escore,-0.9477899999999999,0.12868245402964737
CL0,Escore,-0.80615,0.12905219626718137
CL0,Escore,-0.69509,0.12933576031334024
CL0,Escore,-0.57545,0.1296349249210078
CL0,Escore,-0.43998999999999994,0.1299656802750744
CL0,Escore,-0.30033000000000004,0.13029774675005212
CL0,Escore,-0.15487,0.13063385513885975
CL0,Escore,0.0033200000000000005,0.1309879758095659
CL0,Escore,0.16767,0.1313431773426759
CL0,Escore,0.32197,0.13166475664869925
CL0,Escore,0.47617,0.13197450770662947
CL0,Escore,0.63779,0.1322865890501104
CL0,Escore,0.80523,0.13259622204209323
CL0,Escore,0.9624799999999999,0.13287422877754604
CL0,Escore,1.11406,0.1331304066610359
CL0,Escore,1.2861,0.1334070275388821
CL0,Escore,1.45421,0.13366271726696735
CL0,Escore,1.58487,0.13385141398737288
CL0,Escore,1.74091,0.13406520750507422
CL0,Escore,1.9388599999999998,0.13431823114065322
CL0,Escore,2.127,0.13453976255012495
CL0,Escore,2.32338,0.13475119990490317
CL0,Escore,2.57309,0.13499072415640515
CL0,Escore,2.8595,0.13522485218796026
CL0,Escore,3.00537,0.13532737306506817
CL0,Escore,3.27393,0.1354865473572284
CL0,Oscore,-3.27393,0.19334813556722674
CL0,Oscore,-2.8595,0.18632695626652446
CL0,Oscore,-2.63199,0.1824422333542286
CL0,Oscore,-2.39883,0.1784398927293722
CL0,Oscore,-2.21069,0.17519547334970922
CL0,Oscore,-2.09015,0.173110130496558
CL0,Oscore,-1.97495,0.1711125024232427
CL0,Oscore,-1.82919,0.16857867948744307
CL0,Oscore,-1.68062,0.1659891569700717
CL0,Oscore,-1.55521,0.16379822617256995
CL0,Oscore,-1.42424,0.16150550519828324
CL0,Oscore,-1.2755299999999998,0.15889687179166884
CL0,Oscore,-1.1190200000000001,0.15614578986445649
CL0,Oscore,-0.97631,0.15363277685685095
CL0,Oscore,-0.8473200000000001,0.15135810326072732
CL0,Oscore,-0.71727,0.14906202119643266
CL0,Oscore,-0.58331,0.14669450708428952
CL0,Oscore,-0.45174,0.14436733436199192
CL0,Oscore,-0.31776,0.14199611220834712
CL0,Oscore,-0.17779,0.13951793100176021
CL0,Oscore,-0.019280000000000002,0.13671114081998262
CL0,Oscore,0.14143,0.13386598862546828
CL0,Oscore,0.29338000000000003,0.13117744925667366
CL0,Oscore,0.44585,0.1284821928530403
CL0,Oscore,0.58331,0.12605524863280385
CL0,Oscore,0.7233,0.12358736846951653
CL0,Oscore,0.8830899999999999,0.12077612325508606
CL0,Oscore,1.0623799999999999,0.11763059337045034
CL0,Oscore,1.24033,0.11451959548108594
CL0,Oscore,1.43533,0.11112545910067792
CL0,Oscore,1.6565299999999998,0.1072974853330615
CL0,Oscore,1.8851099999999998,0.10337070358059071
CL0,Oscore,2.1532400000000003,0.09880807104888112
CL0,Oscore,2.44904,0.093837892350449
CL0,Oscore,2.90161,0.08638531002866547
CL0,Ascore,-3.4643599999999997,0.08936615692746845
CL0,Ascore,-3.15735,0.09285148759511853
CL0,Ascore,-3.00537,0.09461448847190065
CL0,Ascore,-2.90161,0.09583253497406002
CL0,Ascore,-2.78793,0.09718050463990595
CL0,Ascore,-2.70172,0.09821216573951409
CL0,Ascore,-2.5383,0.10019015869077216
CL0,Ascore,-2.35413,0.10245454267334425
CL0,Ascore,-2.21844,0.10414684552327265
CL0,Ascore,-2.07848,0.10591379517643115
CL0,Ascore,-1.92595,0.1078642462191268
CL0,Ascore,-1.772,0.10985916515171867
CL0,Ascore,-1.6209,0.11184292029921702
CL0,Ascore,-1.47955,0.11372182913084895
CL0,Ascore,-1.34289,0.1155597194142103
CL0,Ascore,-1.21213,0.1173379177080826
CL0,Ascore,-1.07533,0.11921885228761749
CL0,Ascore,-0.91699,0.12142227788413842
CL0,Ascore,-0.7609600000000001,0.12362121198856733
CL0,Ascore,-0.60633,0.12582751131180261
CL0,Ascore,-0.45321000000000006,0.1280388488601958
CL0,Ascore,-0.30172,0.13025267314236297
CL0,Ascore,-0.15487,0.13242338779780136
CL0,Ascore,-0.01729,0.13447911686367997
CL0,Ascore,0.13136,0.13672419450657397
CL0,Ascore,0.28783000000000003,0.13911420190468246
CL0,Ascore,0.43851999999999997,0.14144188013891518
CL0,Ascore,0.59042,0.14381396925215262
CL0,Ascore,0.7609600000000001,0.14650783238975826
CL0,Ascore,0.9415600000000001,0.14939588228667655
CL0,Ascore,1.11406,0.1521881560734202
CL0,Ascore,1.2861,0.15500569002044765
CL0,Ascore,1.45039,0.1577266471234529
CL0,Ascore,1.6110799999999998,0.16041651748590371
CL0,Ascore,1.81866,0.16393283062175926
CL0,Ascore,2.03972,0.16772859531855472
CL0,Ascore,2.23427,0.17111241385829043
CL0,Ascore,2.4626200000000003,0.1751352902158329
CL0,Ascore,2.75696,0.1804013186113865
CL0,Ascore,3.15735,0.1877080414506305
CL0,Ascore,3.4643599999999997,0.19342041062468524
CL0,Cscore,-3.4643599999999997,0.09199698335695378
CL0,Cscore,-3.15735,0.09608340874514454
CL0,Cscore,-2.90161,0.0994877842621077
CL0,Cscore,-2.72827,0.10178800851356852
CL0,Cscore,-2.57309,0.1038379336238009
CL0,Cscore,-2.4231700000000003,0.1058066506731869
CL0,Cscore,-2.30408,0.10736012819621867
CL0,Cscore,-2.18109,0.10895289253978364
CL0,Cscore,-2.04506,0.11069853968121136
CL0,Cscore,-1.92173,0.11226454480363661
CL0,Cscore,-1.7816900000000002,0.11402085370871075
CL0,Cscore,-1.6410099999999999,0.11575881377776881
CL0,Cscore,-1.5184,0.11724951285463625
CL0,Cscore,-1.3850200000000001,0.1188431286703478
CL0,Cscore,-1.25773,0.12033424795159971
CL0,Cscore,-1.13788,0.12170942374971509
CL0,Cscore,-1.0145,0.12309369331655495
CL0,Cscore,-0.89891,0.12435963452850596
CL0,Cscore,-0.78155,0.1256123556387808
CL0,Cscore,-0.65253,0.12694926152716768
CL0,Cscore,-0.52745,0.1282026420977936
CL0,Cscore,-0.40581,0.12937891678676988
CL0,Cscore,-0.27607,0.13058467752240083
CL0,Cscore,-0.14277,0.13176828135929694
CL0,Cscore,-0.00665,0.1329162178291538
CL0,Cscore,0.12330999999999999,0.13395225018400594
CL0,Cscore,0.25953000000000004,0.1349725174476002
CL0,Cscore,0.41594,0.13605750093080887
CL0,Cscore,0.5848899999999999,0.13712102599716222
CL0,Cscore,0.7583,0.13809044617909313
CL0,Cscore,0.9394899999999999,0.13896575655260834
CL0,Cscore,1.1340700000000001,0.13974326874274748
CL0,Cscore,1.3061200000000002,0.14028602263063822
CL0,Cscore,1.46191,0.14065720281406222
CL0,Cscore,1.6308799999999999,0.1409278628633922
CL0,Cscore,1.81175,0.1410628816196903
CL0,Cscore,2.04506,0.14099741364126522
CL0,Cscore,2.33337,0.14053999043378154
CL0,Cscore,2.63199,0.1396270029559691
CL0,Cscore,3.00537,0.13786523124530278
CL0,Cscore,3.4643599999999997,0.1347900008692164
CL0,Impulsive,-2.55524,0.18776571398765515
CL0,Impulsive,-1.37983,0.16538893100910967
CL0,Impulsive,-0.71126,0.15201235827132567
CL0,Impulsive,-0.21711999999999998,0.14201526746884405
CL0,Impulsive,0.19268,0.13373637743168804
CL0,Impulsive,0.52975,0.12697777836393587
CL0,Impulsive,0.88113,0.12001573727679413
CL0,Impulsive,1.29221,0.11202058922504605
CL0,Impulsive,1.8620299999999999,0.101285921044905
CL0,Impulsive,2.90161,0.08304258172863152
CL0,SS,-2.07848,0.24263682048895832
CL0,SS,-1.5485799999999998,0.21754056746703332
CL0,SS,-1.18084,0.20069236198609772
CL0,SS,-0.8463700000000001,0.18580338961415363
CL0,SS,-0.52593,0.1719505833089544
CL0,SS,-0.21575,0.1589458414197758
CL0,SS,0.07987000000000001,0.1469410986026438
CL0,SS,0.40148,0.13433525000927884
CL0,SS,0.7654,0.12067376099253867
CL0,SS,1.2247,0.10440468132735838
CL0,SS,1.92173,0.08196253077582642
CL1,Age,-0.9519700000000001,0.08386528589954156
CL1,Age,-0.07854,0.17841186368904646
CL1,Age,0.49788000000000004,0.2708049296964745
CL1,Age,1.09449,0.38453514302870895
CL1,Age,1.82213,0.5270655895379093
CL1,Age,2.59171,0.6569777107996401
CL1,Gender,-0.48246000000000006,0.12885533526178652
CL1,Gender,0.48246000000000006,0.14479238569812114
CL1,Education,-2.43591,0.10418829674337989
CL1,Education,-1.7379,0.1136304170875882
CL1,Education,-1.43719,0.11776775721898901
CL1,Education,-1.22751,0.12067211936912334
CL1,Education,-0.6111300000000001,0.1292780440034858
CL1,Education,-0.059210000000000006,0.13703202219062247
CL1,Education,0.45468000000000003,0.14425284210158906
CL1,Education,1.16365,0.15415198019548568
CL1,Education,1.98437,0.16541904167362662
CL1,Country,-0.57009,0.12064765314875331
CL1,Country,-0.46841000000000005,0.12323482530097227
CL1,Country,-0.28519,0.12780908135396318
CL1,Country,-0.09765,0.13235118275397187
CL1,Country,0.21128000000000002,0.13945381771137969
CL1,Country,0.24923,0.14028925971056072
CL1,Country,0.9608200000000001,0.15414232440007458
CL1,Ethnicity,-1.1070200000000001,0.14259467154021754
CL1,Ethnicity,-0.50212,0.1378027974188525
CL1,Ethnicity,-0.31685,0.13565272366198083
CL1,Ethnicity,-0.22166,0.13441779839796897
CL1,Ethnicity,0.1144,0.12934284531425388
CL1,Ethnicity,0.126,0.1291477828203619
CL1,Ethnicity,1.90725,0.08642205253777864
CL1,Nscore,-3.4643599999999997,0.1242400047393248
CL1,Nscore,-3.15735,0.1257860979490356
CL1,Nscore,-2.75696,0.127662385827551
CL1,Nscore,-2.52197,0.12868324521173313
CL1,Nscore,-2.4231700000000003,0.12909359519910388
CL1,Nscore,-2.3436,0.129415688301414
CL1,Nscore,-2.21844,0.12990682629853967
CL1,Nscore,-2.05048,0.1305353006563318
CL1,Nscore,-1.86962,0.13117146864704307
CL1,Nscore,-1.69163,0.13175496843816314
CL1,Nscore,-1.5507799999999998,0.13218580166025873
CL1,Nscore,-1.43907,0.13250756210994294
CL1,Nscore,-1.32828,0.13280887626400845
CL1,Nscore,-1.1943,0.1331491050293037
CL1,Nscore,-1.05308,0.13347849292824707
CL1,Nscore,-0.92104,0.13375876309619308
CL1,Nscore,-0.79151,0.13400717437862905
CL1,Nscore,-0.67825,0.13420247474585412
CL1,Nscore,-0.58016,0.13435485107808032
CL1,Nscore,-0.46725,0.13451072082487675
CL1,Nscore,-0.34799,0.13465236251962387
CL1,Nscore,-0.24649000000000001,0.1347540696960505
CL1,Nscore,-0.14882,0.13483539707457226
CL1,Nscore,-0.051879999999999996,0.13489991560650752
CL1,Nscore,0.04257,0.13494711218630712
CL1,Nscore,0.13606,0.134978474976338
CL1,Nscore,0.22393000000000002,0.13499392036598995
CL1,Nscore,0.31287,0.1349956105481519
CL1,Nscore,0.41667,0.13497972485428808
CL1,Nscore,0.52135,0.1349440965787815
CL1,Nscore,0.62967,0.13488636883459074
CL1,Nscore,0.73545,0.13480940207618264
CL1,Nscore,0.82562,0.13472765102741902
CL1,Nscore,0.9109299999999999,0.13463657686010294
CL1,Nscore,1.02119,0.13449902508143702
CL1,Nscore,1.13281,0.1343369212042838
CL1,Nscore,1.23461,0.1341689810473888
CL1,Nscore,1.37297,0.13390993672432555
CL1,Nscore,1.49158,0.13365960213081404
CL1,Nscore,1.6038299999999999,0.13339865921994562
CL1,Nscore,1.72012,0.1331037029915053
CL1,Nscore,1.8399,0.1327737484653403
CL1,Nscore,1.98437,0.1323405915484997
CL1,Nscore,2.127,0.13187537828557508
CL1,Nscore,2.28554,0.13131474360447343
CL1,Nscore,2.4626200000000003,0.13063483771517825
CL1,Nscore,2.61139,0.13002028489121478
CL1,Nscore,2.82196,0.1290837363894191
CL1,Nscore,3.27393,0.126816412924454
CL1,Escore,-3.27393,0.14864138757714265
CL1,Escore,-3.00537,0.14770522642849077
CL1,Escore,-2.72827,0.14670377901217171
CL1,Escore,-2.5383,0.1459966640583946
CL1,Escore,-2.44904,0.14565870584765714
CL1,Escore,-2.32338,0.14517679431086095
CL1,Escore,-2.21069,0.14473856596023024
CL1,Escore,-2.11437,0.14435949175432483
CL1,Escore,-2.03972,0.14406286416333075
CL1,Escore,-1.92173,0.143589004336229
CL1,Escore,-1.7625,0.1429398625390543
CL1,Escore,-1.6334,0.14240549510065786
CL1,Escore,-1.50796,0.14187944202851438
CL1,Escore,-1.37639,0.14132052167185158
CL1,Escore,-1.23177,0.14069780509526011
CL1,Escore,-1.09207,0.14008806590708625
CL1,Escore,-0.9477899999999999,0.13944998413389045
CL1,Escore,-0.80615,0.13881543668764712
CL1,Escore,-0.69509,0.1383123216496653
CL1,Escore,-0.57545,0.13776493548531302
CL1,Escore,-0.43998999999999994,0.13713849391575866
CL1,Escore,-0.30033000000000004,0.13648531710868056
CL1,Escore,-0.15487,0.13579724987033304
CL1,Escore,0.0033200000000000005,0.1350401331394193
