Class,Feature,Value,Probability
Iris-setosa,Sepal length,4.3,0.7111683313194074
Iris-setosa,Sepal length,4.4,0.9432512188467651
Iris-setosa,Sepal length,4.5,0.9859763422532153
Iris-setosa,Sepal length,4.6,0.994703492017659
Iris-setosa,Sepal length,4.7,0.9969076599760862
Iris-setosa,Sepal length,4.8,0.9972537125372821
Iris-setosa,Sepal length,4.9,0.9963563227487541
Iris-setosa,Sepal length,5.0,0.99288824556619
Iris-setosa,Sepal length,5.1,0.9799178452888141
Iris-setosa,Sepal length,5.2,0.9215490132364077
Iris-setosa,Sepal length,5.3,0.6616056167221401
Iris-setosa,Sepal length,5.4,0.1839751637482152
Iris-setosa,Sepal length,5.5,0.017708470115690968
Iris-setosa,Sepal length,5.6,0.0009984689108403979
Iris-setosa,Sepal length,5.7,3.837100742303817e-05
Iris-setosa,Sepal length,5.8,1.0176646875328709e-06
Iris-setosa,Sepal length,5.9,1.8562355148018606e-08
Iris-setosa,Sepal length,6.0,2.3123147587843483e-10
Iris-setosa,Sepal length,6.1,1.946062457993254e-12
Iris-setosa,Sepal length,6.2,1.089571200113823e-14
Iris-setosa,Sepal length,6.3,3.979274639063594e-17
Iris-setosa,Sepal length,6.4,9.286616164548178e-20
Iris-setosa,Sepal length,6.5,1.3639114554536068e-22
Iris-setosa,Sepal length,6.6,1.2552011727234741e-25
Iris-setosa,Sepal length,6.7,7.287025449699424e-29
Iris-setosa,Sepal length,6.8,2.7018849547605147e-32
Iris-setosa,Sepal length,6.9,6.476434826184089e-36
Iris-setosa,Sepal length,7.0,1.0126324633652115e-39
Iris-setosa,Sepal length,7.1,1.03853936599872e-43
Iris-setosa,Sepal length,7.2,7.007523143791878e-48
Iris-setosa,Sepal length,7.3,3.1155070574274924e-52
Iris-setosa,Sepal length,7.4,9.133005121948547e-57
Iris-setosa,Sepal length,7.6,2.2520404049158708e-66
Iris-setosa,Sepal length,7.7,1.894622014748159e-71
Iris-setosa,Sepal length,7.9,3.8493369660581036e-82
Iris-setosa,Sepal width,2.0,0.02215163791968185
Iris-setosa,Sepal width,2.2,0.016616398978423517
Iris-setosa,Sepal width,2.3,0.01670215278819982
Iris-setosa,Sepal width,2.4,0.018475700653067396
Iris-setosa,Sepal width,2.5,0.022389468659229122
Iris-setosa,Sepal width,2.6,0.029530433092847485
Iris-setosa,Sepal width,2.7,0.042012361892476126
Iris-setosa,Sepal width,2.8,0.06369826161212955
Iris-setosa,Sepal width,2.9,0.10129066276463684
Iris-setosa,Sepal width,3.0,0.16533261993176396
Iris-setosa,Sepal width,3.1,0.2689340714321514
Iris-setosa,Sepal width,3.2,0.4191659563254337
Iris-setosa,Sepal width,3.3,0.5999947897432008
Iris-setosa,Sepal width,3.4,0.7685302102541556
