Class,Feature,Value,Probability
Iris-setosa,Sepal length,4.3,0.6896775652330485
Iris-setosa,Sepal length,4.4,0.6450488433992038
Iris-setosa,Sepal length,4.5,0.597744515394796
Iris-setosa,Sepal length,4.6,0.54854728650354
Iris-setosa,Sepal length,4.7,0.4983816078668497
Iris-setosa,Sepal length,4.8,0.4482476886068445
Iris-setosa,Sepal length,4.9,0.3991432514404791
Iris-setosa,Sepal length,5.0,0.35198569512892036
Iris-setosa,Sepal length,5.1,0.30754721589332873
Iris-setosa,Sepal length,5.2,0.2664119724473954
Iris-setosa,Sepal length,5.3,0.22895891716006733
Iris-setosa,Sepal length,5.4,0.19536841298848284
Iris-setosa,Sepal length,5.5,0.16564682763947364
Iris-setosa,Sepal length,5.6,0.13966163978150395
Iris-setosa,Sepal length,5.7,0.1171799762112119
Iris-setosa,Sepal length,5.8,0.09790515519011388
Iris-setosa,Sepal length,5.9,0.08150789515014484
Iris-setosa,Sepal length,6.0,0.06765073971649388
Iris-setosa,Sepal length,6.1,0.05600564174255846
Iris-setosa,Sepal length,6.2,0.04626548760961463
Iris-setosa,Sepal length,6.3,0.03815072141061826
Iris-setosa,Sepal length,6.4,0.031412290473279245
Iris-setosa,Sepal length,6.5,0.025832014238660002
Iris-setosa,Sepal length,6.6,0.021221279515385078
Iris-setosa,Sepal length,6.7,0.017418751445203915
Iris-setosa,Sepal length,6.8,0.014287596058216624
Iris-setosa,Sepal length,6.9,0.011712551512323574
Iris-setosa,Sepal length,7.0,0.009597063323694385
Iris-setosa,Sepal length,7.1,0.007860610316849984
Iris-setosa,Sepal length,7.2,0.006436286539320948
Iris-setosa,Sepal length,7.3,0.0052686636440723135
Iris-setosa,Sepal length,7.4,0.004311932636032804
Iris-setosa,Sepal length,7.6,0.002886676448029957
Iris-setosa,Sepal length,7.7,0.002361444659439771
Iris-setosa,Sepal length,7.9,0.001579853621770563
Iris-setosa,Sepal width,2.0,0.002372367595195206
Iris-setosa,Sepal width,2.2,0.004820630620922232
Iris-setosa,Sepal width,2.3,0.006861534521428038
Iris-setosa,Sepal width,2.4,0.009754278846664828
Iris-setosa,Sepal width,2.5,0.013844744700032167
Iris-setosa,Sepal width,2.6,0.019610391286036352
Iris-setosa,Sepal width,2.7,0.027701797281830302
Iris-setosa,Sepal width,2.8,0.03898901173372858
Iris-setosa,Sepal width,2.9,0.05460442897164815
Iris-setosa,Sepal width,3.0,0.07596407016303659
Iris-setosa,Sepal width,3.1,0.10473448006578633
Iris-setosa,Sepal width,3.2,0.1426962006883778
Iris-setosa,Sepal width,3.3,0.19144917139770415
Iris-setosa,Sepal width,3.4,0.2519353417409209
Iris-setosa,Sepal width,3.5,0.32384708618938324
Iris-setosa,Sepal width,3.6,0.4051381274318582
Iris-setosa,Sepal width,3.7,0.4919593044051021
Iris-setosa,Sepal width,3.8,0.5792436919386134
Iris-setosa,Sepal width,3.9,0.6618195487155357
Iris-setosa,Sepal width,4.0,0.7355710594028967
Iris-setosa,Sepal width,4.1,0.7981321808447848
Iris-setosa,Sepal width,4.2,0.8489231351735269
Iris-setosa,Sepal width,4.4,0.919015066300515
Iris-setosa,Petal length,1.0,0.5417481064363829
Iris-setosa,Petal length,1.1,0.519562382569841
Iris-setosa,Petal length,1.2,0.49729725247619966
Iris-setosa,Petal length,1.3,0.47504052819695086
Iris-setosa,Petal length,1.4,0.4528798552291572
Iris-setosa,Petal length,1.5,0.4309013327419
Iris-setosa,Petal length,1.6,0.4091881850160514
Iris-setosa,Petal length,1.7,0.38781952702010164
Iris-setosa,Petal length,1.9,0.34640514014449797
Iris-setosa,Petal length,3.0,0.16529698405214438
Iris-setosa,Petal length,3.3,0.1312476707254723
Iris-setosa,Petal length,3.5,0.11190325802848144
Iris-setosa,Petal length,3.6,0.10315942097615077
Iris-setosa,Petal length,3.7,0.09499650159340875
Iris-setosa,Petal length,3.8,0.08738519068313762
Iris-setosa,Petal length,3.9,0.08029599372806764
Iris-setosa,Petal length,4.0,0.07369955950789804
Iris-setosa,Petal length,4.1,0.06756696136233968
Iris-setosa,Petal length,4.2,0.06186993469923717
Iris-setosa,Petal length,4.3,0.05658107481813534
Iris-setosa,Petal length,4.4,0.05167399931543374
Iris-setosa,Petal length,4.5,0.04712347928778466
Iris-setosa,Petal length,4.6,0.04290554328032942
Iris-setosa,Petal length,4.7,0.038997557455247876
Iris-setosa,Petal length,4.8,0.03537828480070966
Iris-setosa,Petal length,4.9,0.03202792537978515
Iris-setosa,Petal length,5.0,0.028928138662466924
Iris-setosa,Petal length,5.1,0.026062047941514364
Iris-setosa,Petal length,5.2,0.023414225786688468
Iris-setosa,Petal length,5.3,0.020970658567587678
Iris-setosa,Petal length,5.4,0.018718687446228108
Iris-setosa,Petal length,5.5,0.01664692312049883
Iris-setosa,Petal length,5.6,0.014745132214960857
Iris-setosa,Petal length,5.7,0.01300409475201211
Iris-setosa,Petal length,5.8,0.011415434663223594
Iris-setosa,Petal length,5.9,0.009971428684166837
Iris-setosa,Petal length,6.0,0.00866480281460807
Iris-setosa,Petal length,6.1,0.007488529143966035
Iris-setosa,Petal length,6.3,0.0054990640344550765
Iris-setosa,Petal length,6.4,0.0046715323252565855
Iris-setosa,Petal length,6.6,0.003313195499819026
Iris-setosa,Petal length,6.7,0.0027666030727422327
Iris-setosa,Petal length,6.9,0.001898252246314854
Iris-setosa,Petal width,0.1,0.3005521700723017
Iris-setosa,Petal width,0.2,0.27364724333976115
Iris-setosa,Petal width,0.3,0.24828771563375
Iris-setosa,Petal width,0.4,0.22453986334454165
Iris-setosa,Petal width,0.5,0.20243427455116222
Iris-setosa,Petal width,0.6,0.18196892249674917
Iris-setosa,Petal width,1.0,0.11553395690947268
Iris-setosa,Petal width,1.1,0.10235282597729403
Iris-setosa,Petal width,1.2,0.09031258720871245
Iris-setosa,Petal width,1.3,0.07927456194548406
Iris-setosa,Petal width,1.4,0.06909045976706209
Iris-setosa,Petal width,1.5,0.059608695256386166
Iris-setosa,Petal width,1.6,0.050688260825501125
Iris-setosa,Petal width,1.7,0.042224884888718846
Iris-setosa,Petal width,1.8,0.03419031391290074
Iris-setosa,Petal width,1.9,0.026671834297143728
Iris-setosa,Petal width,2.0,0.019878038242995225
Iris-setosa,Petal width,2.1,0.014073991696945159
Iris-setosa,Petal width,2.2,0.009457401509704921
Iris-setosa,Petal width,2.3,0.006056543557443299
Iris-setosa,Petal width,2.4,0.0037251054158731413
Iris-setosa,Petal width,2.5,0.002220524707727328
Iris-versicolor,Sepal length,4.3,0.3032091138481686
Iris-versicolor,Sepal length,4.4,0.34691223393035364
Iris-versicolor,Sepal length,4.5,0.3932542973464334
Iris-versicolor,Sepal length,4.6,0.4414716408963978
Iris-versicolor,Sepal length,4.7,0.4906610783917623
Iris-versicolor,Sepal length,4.8,0.5398443040004883
Iris-versicolor,Sepal length,4.9,0.5880443991410097
Iris-versicolor,Sepal length,5.0,0.6343620639395122
Iris-versicolor,Sepal length,5.1,0.6780392766658868
Iris-versicolor,Sepal length,5.2,0.7185014558437434
Iris-versicolor,Sepal length,5.3,0.7553745341587222
Iris-versicolor,Sepal length,5.4,0.7884787405341748
Iris-versicolor,Sepal length,5.5,0.8178047427746885
Iris-versicolor,Sepal length,5.6,0.8434794403330965
Iris-versicolor,Sepal length,5.7,0.8657283355602992
Iris-versicolor,Sepal length,5.8,0.8848398011104377
Iris-versicolor,Sepal length,5.9,0.9011345267462132
Iris-versicolor,Sepal length,6.0,0.9149415782089512
Iris-versicolor,Sepal length,6.1,0.9265811368811055
Iris-versicolor,Sepal length,6.2,0.9363531652376633
Iris-versicolor,Sepal length,6.3,0.9445308696155017
Iris-versicolor,Sepal length,6.4,0.951357768616017
Iris-versicolor,Sepal length,6.5,0.9570472903347699
Iris-versicolor,Sepal length,6.6,0.9617840150172556
Iris-versicolor,Sepal length,6.7,0.9657258880641894
Iris-versicolor,Sepal length,6.8,0.9690069172337291
Iris-versicolor,Sepal length,6.9,0.9717400231389409
Iris-versicolor,Sepal length,7.0,0.9740198313392895
Iris-versicolor,Sepal length,7.1,0.9759252811070357
Iris-versicolor,Sepal length,7.2,0.977521986249964
Iris-versicolor,Sepal length,7.3,0.9788643233794296
Iris-versicolor,Sepal length,7.4,0.9799972481993079
Iris-versicolor,Sepal length,7.6,0.9817767037294735
Iris-versicolor,Sepal length,7.7,0.982478937191322
Iris-versicolor,Sepal length,7.9,0.983612527318769
Iris-versicolor,Sepal width,2.0,0.9446871992117795
Iris-versicolor,Sepal width,2.2,0.9515768849263526
Iris-versicolor,Sepal width,2.3,0.9536264147994763
Iris-versicolor,Sepal width,2.4,0.9544851521152345
Iris-versicolor,Sepal width,2.5,0.9538409262804545
Iris-versicolor,Sepal width,2.6,0.9512490827059732
Iris-versicolor,Sepal width,2.7,0.9460910396415008
Iris-versicolor,Sepal width,2.8,0.9375278990456347
Iris-versicolor,Sepal width,2.9,0.9244572522486082
Iris-versicolor,Sepal width,3.0,0.9054910894122036
Iris-versicolor,Sepal width,3.1,0.8789873532138371
Iris-versicolor,Sepal width,3.2,0.84318397939058
Iris-versicolor,Sepal width,3.3,0.7964901657962129
Iris-versicolor,Sepal width,3.4,0.7379603237282776
Iris-versicolor,Sepal width,3.5,0.6678837889098006
Iris-versicolor,Sepal width,3.6,0.5882758439871851
Iris-versicolor,Sepal width,3.7,0.5029491385943871
Iris-versicolor,Sepal width,3.8,0.416939646236851
Iris-versicolor,Sepal width,3.9,0.33540417364099306
Iris-versicolor,Sepal width,4.0,0.2624644548814442
Iris-versicolor,Sepal width,4.1,0.20051075618518244
Iris-versicolor,Sepal width,4.2,0.15015790932065545
Iris-versicolor,Sepal width,4.4,0.08058170575727389
Iris-versicolor,Petal length,1.0,0.45811526385672435
Iris-versicolor,Petal length,1.1,0.4802709760940655
Iris-versicolor,Petal length,1.2,0.5024999052809997
Iris-versicolor,Petal length,1.3,0.5247130550039503
Iris-versicolor,Petal length,1.4,0.5468213864867063
Iris-versicolor,Petal length,1.5,0.5687371641001608
Iris-versicolor,Petal length,1.6,0.5903752442205916
Iris-versicolor,Petal length,1.7,0.6116542636550127
Iris-versicolor,Petal length,1.9,0.65283469496937
Iris-versicolor,Petal length,3.0,0.8295984507139491
Iris-versicolor,Petal length,3.3,0.8604159522624439
Iris-versicolor,Petal length,3.5,0.8766013685640527
Iris-versicolor,Petal length,3.6,0.8833637861842397
Iris-versicolor,Petal length,3.7,0.88922075218163
Iris-versicolor,Petal length,3.8,0.8941514762388006
Iris-versicolor,Petal length,3.9,0.8981283781453165
Iris-versicolor,Petal length,4.0,0.9011160312629317
Iris-versicolor,Petal length,4.1,0.9030701641689516
Iris-versicolor,Petal length,4.2,0.9039367553826545
Iris-versicolor,Petal length,4.3,0.9036512701562154
Iris-versicolor,Petal length,4.4,0.9021381057238728
Iris-versicolor,Petal length,4.5,0.8993103319403029
Iris-versicolor,Petal length,4.6,0.895069837142896
Iris-versicolor,Petal length,4.7,0.8893080127480578
Iris-versicolor,Petal length,4.8,0.8819071317646555
Iris-versicolor,Petal length,4.9,0.8727425917760023
Iris-versicolor,Petal length,5.0,0.8616861959172295
Iris-versicolor,Petal length,5.1,0.8486106280841917
Iris-versicolor,Petal length,5.2,0.8333952318909761
Iris-versicolor,Petal length,5.3,0.8159331175728679
Iris-versicolor,Petal length,5.4,0.7961394902384643
Iris-versicolor,Petal length,5.5,0.7739609154446183
Iris-versicolor,Petal length,5.6,0.749385022694232
Iris-versicolor,Petal length,5.7,0.7224499165810973
Iris-versicolor,Petal length,5.8,0.6932523570126531
Iris-versicolor,Petal length,5.9,0.6619536356451908
Iris-versicolor,Petal length,6.0,0.6287820717076352
Iris-versicolor,Petal length,6.1,0.594031223288388
Iris-versicolor,Petal length,6.3,0.521247625581165
Iris-versicolor,Petal length,6.4,0.4840452394594713
Iris-versicolor,Petal length,6.6,0.41021942537507045
Iris-versicolor,Petal length,6.7,0.3744443623465938
Iris-versicolor,Petal length,6.9,0.30699897677668764
Iris-versicolor,Petal width,0.1,0.6993563722760293
Iris-versicolor,Petal width,0.2,0.7262030635117093
Iris-versicolor,Petal width,0.3,0.7514681231126661
Iris-versicolor,Petal width,0.4,0.7750631959520541
Iris-versicolor,Petal width,0.5,0.7969224056843152
Iris-versicolor,Petal width,0.6,0.8169915146802287
Iris-versicolor,Petal width,1.0,0.8775730818761658
Iris-versicolor,Petal width,1.1,0.8866695919464874
Iris-versicolor,Petal width,1.2,0.892274725277995
Iris-versicolor,Petal width,1.3,0.8932488981802947
Iris-versicolor,Petal width,1.4,0.8878611475560765
Iris-versicolor,Petal width,1.5,0.8736247231155329
Iris-versicolor,Petal width,1.6,0.8472489145191047
Iris-versicolor,Petal width,1.7,0.8049343034970573
Iris-versicolor,Petal width,1.8,0.7433329436617946
Iris-versicolor,Petal width,1.9,0.6613350000827425
Iris-versicolor,Petal width,2.0,0.5621218616529032
Iris-versicolor,Petal width,2.1,0.45390250068707094
Iris-versicolor,Petal width,2.2,0.34786076120619236
Iris-versicolor,Petal width,2.3,0.2540661412147091
Iris-versicolor,Petal width,2.4,0.1782168834350996
Iris-versicolor,Petal width,2.5,0.12115859213427786
Iris-virginica,Sepal length,4.3,0.007113320918782931
Iris-virginica,Sepal length,4.4,0.008038922670442629
Iris-virginica,Sepal length,4.5,0.009001187258770605
Iris-virginica,Sepal length,4.6,0.009981072600062285
Iris-virginica,Sepal length,4.7,0.010957313741387796
Iris-virginica,Sepal length,4.8,0.01190800739266714
Iris-virginica,Sepal length,4.9,0.012812349418511209
Iris-virginica,Sepal length,5.0,0.013652240931567488
Iris-virginica,Sepal length,5.1,0.014413507440784365
Iris-virginica,Sepal length,5.2,0.01508657170886144
