Class,Feature,Value,Probability
0,MDVP:Fo(Hz),88.333,0.7335111625220982
0,MDVP:Fo(Hz),91.904,0.6725491129938318
0,MDVP:Fo(Hz),95.056,0.6175258696704164
0,MDVP:Fo(Hz),95.385,0.6118030182735003
0,MDVP:Fo(Hz),95.605,0.607982907235737
0,MDVP:Fo(Hz),95.73,0.6058150740877538
0,MDVP:Fo(Hz),96.106,0.5993072719279314
0,MDVP:Fo(Hz),98.804,0.5534274278063129
0,MDVP:Fo(Hz),100.77,0.5212811948556061
0,MDVP:Fo(Hz),100.96,0.5182464549063214
0,MDVP:Fo(Hz),102.273,0.49766315472400674
0,MDVP:Fo(Hz),104.4,0.46589071248052644
0,MDVP:Fo(Hz),106.516,0.436402543884998
0,MDVP:Fo(Hz),107.332,0.42562820521938816
0,MDVP:Fo(Hz),108.807,0.4070198646577695
0,MDVP:Fo(Hz),109.86,0.3944257885661381
0,MDVP:Fo(Hz),110.417,0.3879973896491225
0,MDVP:Fo(Hz),110.453,0.3875874645033227
0,MDVP:Fo(Hz),110.568,0.3862824968877385
0,MDVP:Fo(Hz),110.707,0.3847143656160285
0,MDVP:Fo(Hz),110.739,0.384354778804067
0,MDVP:Fo(Hz),110.793,0.38374918233133803
0,MDVP:Fo(Hz),112.014,0.3704592747562961
0,MDVP:Fo(Hz),112.15,0.3690266308033282
0,MDVP:Fo(Hz),112.239,0.3680942385073213
0,MDVP:Fo(Hz),112.547,0.36489889984441704
0,MDVP:Fo(Hz),112.876,0.3615393095480552
0,MDVP:Fo(Hz),113.166,0.35862371539246823
0,MDVP:Fo(Hz),113.4,0.35630226225367695
0,MDVP:Fo(Hz),113.715,0.35322095936129666
0,MDVP:Fo(Hz),114.238,0.34821524196692943
0,MDVP:Fo(Hz),114.554,0.34525701617598414
0,MDVP:Fo(Hz),114.563,0.34517349041862017
0,MDVP:Fo(Hz),114.847,0.3425584105586471
0,MDVP:Fo(Hz),115.322,0.33827352176805264
0,MDVP:Fo(Hz),115.38,0.337757899938113
0,MDVP:Fo(Hz),116.014,0.33222844729194767
0,MDVP:Fo(Hz),116.15,0.33106767311439433
0,MDVP:Fo(Hz),116.286,0.32991579853035324
0,MDVP:Fo(Hz),116.342,0.32944407788299174
0,MDVP:Fo(Hz),116.388,0.3290577172828457
0,MDVP:Fo(Hz),116.556,0.32765525843098336
0,MDVP:Fo(Hz),116.676,0.3266617462070967
0,MDVP:Fo(Hz),116.682,0.32661225054301524
0,MDVP:Fo(Hz),116.848,0.3252496517790915
0,MDVP:Fo(Hz),116.879,0.32499663880036256
0,MDVP:Fo(Hz),117.004,0.32398103821577245
0,MDVP:Fo(Hz),117.226,0.3221955026253656
0,MDVP:Fo(Hz),117.274,0.32181248863369377
0,MDVP:Fo(Hz),117.87,0.3171463841850256
0,MDVP:Fo(Hz),117.963,0.3164331634567863
0,MDVP:Fo(Hz),118.747,0.3105783980943146
0,MDVP:Fo(Hz),119.031,0.3085264657381496
0,MDVP:Fo(Hz),119.056,0.3083475772467678
0,MDVP:Fo(Hz),119.1,0.3080334150300967
0,MDVP:Fo(Hz),119.992,0.30185036854742436
0,MDVP:Fo(Hz),120.078,0.30127280461700295
0,MDVP:Fo(Hz),120.08,0.3012594114010625
0,MDVP:Fo(Hz),120.256,0.3000876460231521
0,MDVP:Fo(Hz),120.267,0.30001485889538454
0,MDVP:Fo(Hz),120.289,0.29986944253801295
0,MDVP:Fo(Hz),120.552,0.2981473152624562
0,MDVP:Fo(Hz),121.345,0.2931346517024661
0,MDVP:Fo(Hz),122.188,0.2880972090408049
0,MDVP:Fo(Hz),122.336,0.28724329690386086
0,MDVP:Fo(Hz),122.4,0.2868768301541252
0,MDVP:Fo(Hz),122.964,0.28371972838821397
0,MDVP:Fo(Hz),124.445,0.27603678428933187
0,MDVP:Fo(Hz),125.036,0.27321061164078847
0,MDVP:Fo(Hz),125.641,0.27045579855305635
0,MDVP:Fo(Hz),125.791,0.26979417890665014
0,MDVP:Fo(Hz),126.144,0.26827038464907743
0,MDVP:Fo(Hz),126.344,0.2674276110312739
0,MDVP:Fo(Hz),126.512,0.266731106604159
0,MDVP:Fo(Hz),127.93,0.2612617401155643
0,MDVP:Fo(Hz),128.001,0.26100687405977846
0,MDVP:Fo(Hz),128.451,0.2594329852047662
0,MDVP:Fo(Hz),128.94,0.257803258890536
0,MDVP:Fo(Hz),129.336,0.2565443531327943
0,MDVP:Fo(Hz),136.358,0.24282641095929225
0,MDVP:Fo(Hz),136.926,0.2424011600714305
0,MDVP:Fo(Hz),136.969,0.24237302710940922
0,MDVP:Fo(Hz),138.145,0.24182449738061373
0,MDVP:Fo(Hz),138.19,0.24181195942035089
0,MDVP:Fo(Hz),139.173,0.24169323199789236
0,MDVP:Fo(Hz),139.224,0.24169516607826463
0,MDVP:Fo(Hz),140.341,0.24193783031003316
0,MDVP:Fo(Hz),142.167,0.2431620388223483
0,MDVP:Fo(Hz),142.729,0.24374675385546768
0,MDVP:Fo(Hz),143.533,0.2447548571684834
0,MDVP:Fo(Hz),144.188,0.24572649876080593
0,MDVP:Fo(Hz),145.174,0.24744625690575073
0,MDVP:Fo(Hz),146.845,0.2510775840315679
0,MDVP:Fo(Hz),148.09,0.2543822297084849
0,MDVP:Fo(Hz),148.143,0.2545344734762799
0,MDVP:Fo(Hz),148.272,0.2549090135847279
0,MDVP:Fo(Hz),148.462,0.25547097474039837
0,MDVP:Fo(Hz),148.79,0.2564701388215295
0,MDVP:Fo(Hz),149.689,0.25939919855543736
0,MDVP:Fo(Hz),149.818,0.2598426313910581
0,MDVP:Fo(Hz),150.258,0.2613992838369421
0,MDVP:Fo(Hz),150.44,0.2620632613312306
0,MDVP:Fo(Hz),151.737,0.26714074742645016
0,MDVP:Fo(Hz),151.872,0.26770455441293173
0,MDVP:Fo(Hz),151.884,0.26775499670538366
0,MDVP:Fo(Hz),151.955,0.2680545384175941
0,MDVP:Fo(Hz),151.989,0.2681986428123321
0,MDVP:Fo(Hz),152.125,0.2687793557357077
0,MDVP:Fo(Hz),152.845,0.27196910512975947
0,MDVP:Fo(Hz),153.046,0.27289455526792494
0,MDVP:Fo(Hz),153.848,0.27674146437469
0,MDVP:Fo(Hz),153.88,0.2769001241891622
0,MDVP:Fo(Hz),154.003,0.27751369581832835
0,MDVP:Fo(Hz),155.078,0.2831305133456395
0,MDVP:Fo(Hz),155.358,0.2846694257287587
0,MDVP:Fo(Hz),156.239,0.2897204034335303
0,MDVP:Fo(Hz),156.405,0.29070804784983123
0,MDVP:Fo(Hz),157.447,0.29717278569249833
0,MDVP:Fo(Hz),157.821,0.29960631851487174
0,MDVP:Fo(Hz),158.219,0.3022627498618845
0,MDVP:Fo(Hz),159.116,0.30850577805036106
0,MDVP:Fo(Hz),162.568,0.33597591218796174
0,MDVP:Fo(Hz),163.656,0.345815915145701
0,MDVP:Fo(Hz),166.605,0.37547408063169274
0,MDVP:Fo(Hz),166.888,0.3785543303218141
0,MDVP:Fo(Hz),167.93,0.3902538061773196
0,MDVP:Fo(Hz),168.778,0.40019193298320166
0,MDVP:Fo(Hz),169.774,0.41234233802353676
0,MDVP:Fo(Hz),170.368,0.41983347960305567
0,MDVP:Fo(Hz),170.756,0.4248248882761838
0,MDVP:Fo(Hz),171.041,0.4285404399428091
0,MDVP:Fo(Hz),173.898,0.46803607311763046
0,MDVP:Fo(Hz),173.917,0.4683120341018627
0,MDVP:Fo(Hz),174.188,0.47226653954947934
0,MDVP:Fo(Hz),174.688,0.4796520161611059
0,MDVP:Fo(Hz),176.17,0.5021973231136154
0,MDVP:Fo(Hz),176.281,0.5039237313159337
0,MDVP:Fo(Hz),176.824,0.5124413098441811
0,MDVP:Fo(Hz),176.858,0.5129785539843407
0,MDVP:Fo(Hz),177.876,0.5292682799951799
0,MDVP:Fo(Hz),178.222,0.5348907548125569
0,MDVP:Fo(Hz),178.285,0.5359189550015114
0,MDVP:Fo(Hz),179.711,0.5595322048818414
0,MDVP:Fo(Hz),180.198,0.5677320374637967
0,MDVP:Fo(Hz),180.978,0.5809879445733743
0,MDVP:Fo(Hz),182.018,0.5988599558298654
0,MDVP:Fo(Hz),183.52,0.6249527138084836
0,MDVP:Fo(Hz),184.055,0.6342943309363163
0,MDVP:Fo(Hz),186.163,0.6711067269770985
0,MDVP:Fo(Hz),186.695,0.6803507176046887
0,MDVP:Fo(Hz),187.733,0.6982682608129235
0,MDVP:Fo(Hz),188.62,0.7134097606981811
0,MDVP:Fo(Hz),192.818,0.781610453169062
0,MDVP:Fo(Hz),193.03,0.7848562623324783
0,MDVP:Fo(Hz),197.076,0.8420402952568331
0,MDVP:Fo(Hz),197.569,0.8483319933263623
0,MDVP:Fo(Hz),198.116,0.8551294306544742
0,MDVP:Fo(Hz),198.383,0.8583765877395291
0,MDVP:Fo(Hz),198.458,0.859280307317284
0,MDVP:Fo(Hz),198.764,0.8629291506213265
0,MDVP:Fo(Hz),199.228,0.8683441045853659
0,MDVP:Fo(Hz),200.714,0.884723420318525
0,MDVP:Fo(Hz),201.464,0.8924323806753254
0,MDVP:Fo(Hz),201.774,0.8955098938661562
0,MDVP:Fo(Hz),202.266,0.9002642370422729
0,MDVP:Fo(Hz),202.544,0.9028804982731571
0,MDVP:Fo(Hz),202.632,0.9036981653269178
0,MDVP:Fo(Hz),202.805,0.9052909511905048
0,MDVP:Fo(Hz),203.184,0.9087126598434271
0,MDVP:Fo(Hz),204.664,0.9211987492723921
0,MDVP:Fo(Hz),206.327,0.9336233491117338
0,MDVP:Fo(Hz),208.083,0.9450118841096715
0,MDVP:Fo(Hz),208.519,0.9475801681345773
0,MDVP:Fo(Hz),209.144,0.9510905668371467
0,MDVP:Fo(Hz),209.516,0.9530867856810192
0,MDVP:Fo(Hz),210.141,0.956289091148299
0,MDVP:Fo(Hz),214.289,0.9732351258861408
0,MDVP:Fo(Hz),217.116,0.9812257220964837
0,MDVP:Fo(Hz),222.236,0.990504698231892
0,MDVP:Fo(Hz),223.361,0.9918790492640166
0,MDVP:Fo(Hz),223.365,0.9918835960331712
0,MDVP:Fo(Hz),228.832,0.9963247815288602
0,MDVP:Fo(Hz),228.969,0.996399478255601
0,MDVP:Fo(Hz),229.401,0.996625946514867
0,MDVP:Fo(Hz),236.2,0.9988368202529629
0,MDVP:Fo(Hz),237.226,0.9990162925825836
0,MDVP:Fo(Hz),237.323,0.9990318450434597
0,MDVP:Fo(Hz),240.301,0.9994110370830108
0,MDVP:Fo(Hz),241.404,0.9995119277315979
0,MDVP:Fo(Hz),242.852,0.9996198088136543
0,MDVP:Fo(Hz),243.439,0.9996567682129014
0,MDVP:Fo(Hz),244.99,0.9997387715072481
0,MDVP:Fo(Hz),245.51,0.9997618364250688
0,MDVP:Fo(Hz),252.455,0.9999336573620715
0,MDVP:Fo(Hz),260.105,0.9999852191151037
0,MDVP:Fhi(Hz),102.145,0.4148534548815841
0,MDVP:Fhi(Hz),102.305,0.41469020300733966
0,MDVP:Fhi(Hz),107.715,0.40947915474618996
0,MDVP:Fhi(Hz),108.664,0.40862668980183203
0,MDVP:Fhi(Hz),110.019,0.4074412717070642
0,MDVP:Fhi(Hz),112.24,0.4055787974477018
0,MDVP:Fhi(Hz),112.777,0.40514347119400995
0,MDVP:Fhi(Hz),113.597,0.40448996591766956
0,MDVP:Fhi(Hz),113.84,0.4042989118444331
0,MDVP:Fhi(Hz),115.697,0.40287817113976077
0,MDVP:Fhi(Hz),115.871,0.4027486045140687
0,MDVP:Fhi(Hz),116.443,0.4023269607060667
0,MDVP:Fhi(Hz),119.167,0.4004090465881235
0,MDVP:Fhi(Hz),120.103,0.3997843129110922
0,MDVP:Fhi(Hz),122.611,0.39819652207187084
0,MDVP:Fhi(Hz),123.109,0.3978961491710866
0,MDVP:Fhi(Hz),123.723,0.3975325966473682
0,MDVP:Fhi(Hz),123.925,0.3974146288433165
0,MDVP:Fhi(Hz),124.393,0.39714443029951674
0,MDVP:Fhi(Hz),125.213,0.3966814837711824
0,MDVP:Fhi(Hz),125.306,0.3966298207187141
0,MDVP:Fhi(Hz),125.394,0.39658109310152284
0,MDVP:Fhi(Hz),126.358,0.3960573494002225
0,MDVP:Fhi(Hz),126.609,0.39592399945870027
0,MDVP:Fhi(Hz),126.632,0.3959118424942094
0,MDVP:Fhi(Hz),126.778,0.3958349162811656
0,MDVP:Fhi(Hz),127.349,0.3955381097146258
0,MDVP:Fhi(Hz),127.533,0.39544383953758133
0,MDVP:Fhi(Hz),127.611,0.39540407912466785
0,MDVP:Fhi(Hz),128.101,0.3951570516036713
0,MDVP:Fhi(Hz),128.143,0.39513609848859815
0,MDVP:Fhi(Hz),128.442,0.39498793887648426
0,MDVP:Fhi(Hz),128.611,0.3949049771745726
0,MDVP:Fhi(Hz),129.038,0.39469787495099207
0,MDVP:Fhi(Hz),129.916,0.3942833288414606
0,MDVP:Fhi(Hz),130.049,0.39422185832152506
0,MDVP:Fhi(Hz),130.27,0.3941204862316427
0,MDVP:Fhi(Hz),131.067,0.39376289322802027
0,MDVP:Fhi(Hz),131.111,0.3937435157828381
0,MDVP:Fhi(Hz),131.162,0.3937211032316305
0,MDVP:Fhi(Hz),131.669,0.39350107895256287
0,MDVP:Fhi(Hz),131.731,0.39347451956760043
0,MDVP:Fhi(Hz),131.897,0.3934037810664415
0,MDVP:Fhi(Hz),132.068,0.39333147837595095
0,MDVP:Fhi(Hz),133.344,0.39281009629426
0,MDVP:Fhi(Hz),133.374,0.3927982228182776
0,MDVP:Fhi(Hz),134.209,0.3924748314336666
0,MDVP:Fhi(Hz),134.231,0.3924664958837176
0,MDVP:Fhi(Hz),134.656,0.3923073309087949
0,MDVP:Fhi(Hz),135.069,0.392156052480556
0,MDVP:Fhi(Hz),135.738,0.39191809535227556
0,MDVP:Fhi(Hz),137.244,0.3914144912554111
0,MDVP:Fhi(Hz),137.871,0.3912179049689316
0,MDVP:Fhi(Hz),138.052,0.3911625847428944
0,MDVP:Fhi(Hz),138.752,0.3909546648225121
0,MDVP:Fhi(Hz),139.644,0.3907035842190848
0,MDVP:Fhi(Hz),139.71,0.3906856237473618
0,MDVP:Fhi(Hz),139.867,0.390643241282434
0,MDVP:Fhi(Hz),140.557,0.39046267684364505
0,MDVP:Fhi(Hz),141.068,0.39033494071248304
0,MDVP:Fhi(Hz),141.756,0.3901710022419924
0,MDVP:Fhi(Hz),141.781,0.39016521892177786
0,MDVP:Fhi(Hz),142.369,0.3900327076316414
0,MDVP:Fhi(Hz),142.83,0.3899335283496238
0,MDVP:Fhi(Hz),143.946,0.38971057165870354
0,MDVP:Fhi(Hz),144.466,0.3896149664953059
0,MDVP:Fhi(Hz),148.65,0.3890371317149203
0,MDVP:Fhi(Hz),148.826,0.38902028357453605
0,MDVP:Fhi(Hz),150.449,0.3888932790924337
0,MDVP:Fhi(Hz),154.284,0.3887964385141595
0,MDVP:Fhi(Hz),154.609,0.3888013583454294
0,MDVP:Fhi(Hz),155.982,0.3888447783883332
0,MDVP:Fhi(Hz),157.302,0.3889210398758033
0,MDVP:Fhi(Hz),157.339,0.3889236651130243
0,MDVP:Fhi(Hz),157.765,0.3889558065062549
0,MDVP:Fhi(Hz),158.359,0.3890065084876647
0,MDVP:Fhi(Hz),159.774,0.389154906521979
0,MDVP:Fhi(Hz),159.866,0.38916590225608316
0,MDVP:Fhi(Hz),160.267,0.3892157507399392
0,MDVP:Fhi(Hz),160.368,0.3892287989123982
0,MDVP:Fhi(Hz),161.078,0.38932612133166866
0,MDVP:Fhi(Hz),161.469,0.38938390279343743
0,MDVP:Fhi(Hz),162.215,0.38950239470446635
0,MDVP:Fhi(Hz),162.408,0.3895348129481618
0,MDVP:Fhi(Hz),162.824,0.38960715338000534
0,MDVP:Fhi(Hz),163.267,0.3896878919416346
0,MDVP:Fhi(Hz),163.305,0.3896949954845007
0,MDVP:Fhi(Hz),163.335,0.3897006234003341
0,MDVP:Fhi(Hz),163.417,0.3897160957620736
0,MDVP:Fhi(Hz),163.441,0.38972064902061654
0,MDVP:Fhi(Hz),163.736,0.38977753220721834
0,MDVP:Fhi(Hz),164.989,0.3900380277196758
0,MDVP:Fhi(Hz),165.738,0.39020835020648353
0,MDVP:Fhi(Hz),166.607,0.39041966568649594
0,MDVP:Fhi(Hz),168.913,0.39105184644341073
0,MDVP:Fhi(Hz),172.86,0.3923751310193937
0,MDVP:Fhi(Hz),172.975,0.3924182605025082
0,MDVP:Fhi(Hz),175.829,0.393571782394643
0,MDVP:Fhi(Hz),176.595,0.39390863206528615
0,MDVP:Fhi(Hz),177.291,0.3942247147196799
0,MDVP:Fhi(Hz),179.139,0.39511030277747966
0,MDVP:Fhi(Hz),185.604,0.39874011556240546
